Topic_ID,Coherence_c_v
0,0.6813852334635724
1,0.5179528155902684
2,0.45794512347844646
3,0.3719560267478893
4,0.32642836982550166
5,0.48844306919851604
6,0.7588396303758
7,0.33443769626657016
8,0.3832767658918713
9,0.31043303168639774
10,0.5955022005940712
11,0.3687549114986586
12,0.589302891437205
13,0.3903502185942994
14,0.48203739503763454
15,0.3106536574063595
16,0.4143031527570641
17,0.47279473791655124
18,0.3116138556493676
19,0.6092161837935443
20,0.4774431055656299
21,0.46678336765781464
22,0.7548040105138856
23,0.3464705847326431
24,0.6835047021046117
25,0.6474902989890561
26,0.43746695183114276
27,0.62009526629111
28,0.4715005275165171
29,1.0
30,0.34053970701753583
31,0.3962056270703961
