Topic,Count,Name,Representation,Representative_Docs
23,46,23_turn based_based_update_turn,"['turn based', 'based', 'update', 'turn', 'ampas', 'lag', 'tunggu', 'baik', 'grafik', 'bug']","['login turn based', 'login eror turn based', 'login eror turn based']"
24,46,24_banner_story__,"['banner', 'story', '', '', '', '', '', '', '', '']","['banner', 'banner', 'banner']"
25,43,25_lag_update__,"['lag', 'update', '', '', '', '', '', '', '', '']","['pelit pelit update', 'bang lag', 'pelit lag']"
26,42,26_gacha_ampas_tarik_rate,"['gacha', 'ampas', 'tarik', 'rate', 'grafik', 'story', 'update', '', '', '']","['ampas gacha', 'gacha ampas gacha', 'gacha ampas gacha']"
27,41,27____,"['', '', '', '', '', '', '', '', '', '']","['fav far', 'cool', 'top']"
28,39,28_gacha_hoyo_banner_,"['gacha', 'hoyo', 'banner', '', '', '', '', '', '', '']","['gacha', 'gacha', 'gacha']"
29,38,29_gacha_ampas_pity_banyak,"['gacha', 'ampas', 'pity', 'banyak', 'rate', 'ku', 'bet', 'hoyo', 'hsr', 'genshin']","['burik bit sakit mata gacha', 'bilangin buat bagus gacha', 'rekomen gacha wangy']"
30,38,30_hsr___,"['hsr', '', '', '', '', '', '', '', '', '']","['hsr', 'hsr menang', 'hsr']"
31,37,31_hp_hoyo_lag_update,"['hp', 'hoyo', 'lag', 'update', 'ampas', 'gacha', 'bug', 'turn based', 'based', 'turn']","['hp inflation', 'global passive hp inflation pfft hell', 'hp inflation hoyo']"
32,35,32_suka_tunggu_rate_update,"['suka', 'tunggu', 'rate', 'update', '', '', '', '', '', '']","['suka', 'suka', 'suka']"
