Topic,Count,Name,Representation,Representative_Docs
19,105,19_turn_base_turn base_rpg,"['turn', 'base', 'turn base', 'rpg', 'turnbase', 'turn based', 'based', 'nostalgia', 'base turn', 'rpg turn']","['turn base rpg', 'turn base', 'turn base v']"
20,93,20_global_passive_global passive_pasif,"['global', 'passive', 'global passive', 'pasif', 'global pasif', 'passive global', 'hapus global', 'hapus', 'global pasive', 'pasive']","['castorice global passive', 'hapus global passive', 'global passive']"
21,89,21_rate_kalah_kalah rate_menang,"['rate', 'kalah', 'kalah rate', 'menang', 'menang rate', 'pity', 'pity kalah', 'rate menang', 'hard pity', 'hard']","['menang rate x', 'kalah rate', 'hard pity kalah rate']"
22,88,22_gacha_pity_ampas_hoyo,"['gacha', 'pity', 'ampas', 'hoyo', 'relic ampas', 'robin', 'relic', 'gacha relic', 'firefly', 'low pity']","['gacha relic ampas rating bintang relic ampas', 'bansos gacha relic ampas', 'gacha relic ampas']"
23,86,23_idk_aigam_jous geem_jkec gamr,"['idk', 'aigam', 'jous geem', 'jkec gamr', 'jls gemkntl', 'idk gme', 'heng bjir', 'hebad kelaz', 'hebad', 'hbd im']","['im idk', 'well idk', 'idk']"
24,77,24_bosan_ngantuk_mudah_senang,"['bosan', 'ngantuk', 'mudah', 'senang', 'santai', 'enak', 'main', 'main mudah', 'cocok', 'mudah hoki']","['senang bosan', 'ngantuk', 'bosan ngantuk']"
25,74,25_wangy_jing_wangy wangy_yuan,"['wangy', 'jing', 'wangy wangy', 'yuan', 'jing yuan', 'jingliu', 'liu', 'jing liu', 'jingyuan', 'ruan']","['jing liu wangy wangy wangy otw segs brutal jing liu', 'kafka wangy wangy', 'wangy wangy']"
26,72,26_kikir_kikir kikir_belah_belah kikir,"['kikir', 'kikir kikir', 'belah', 'belah kikir', 'kikir belah', 'kikir kaya', 'hati', 'anti kikir', 'kakak', 'kaya']","['kikir belah kikir', 'kikir', 'kikir v']"
27,70,27_kafka_kafka kafka_kafka bintang_mommy,"['kafka', 'kafka kafka', 'kafka bintang', 'mommy', 'mommy kafka', 'bintang kafka', 'kafkaa', 'kafka pulang', 'lc kafka', 'karna kafka']","['banner kafka kafka', 'kafka', 'b kafka']"
28,70,28_download_data_unduh_download download,"['download', 'data', 'unduh', 'download download', 'unduh data', 'data download', 'download data', 'data gb', 'gb', 'download bintang']","['download download', 'download data', 'download']"
29,67,29_gacha_ampas_gacha ampas_ampas gacha,"['gacha', 'ampas', 'gacha ampas', 'ampas gacha', 'gacha ku', 'gachaku', 'gacha gacha', 'ampas kikir', 'ku', 'wangi gacha']","['rate gacha ampas', 'ampas gacha ampas', 'gacha ampas']"
30,64,30_tunggu_tunggu tunggu_tunggu rilis_sabar,"['tunggu', 'tunggu tunggu', 'tunggu rilis', 'sabar', 'sabar tunggu', 'rilis', 'tunggu tanggal', 'rilis tunggu', 'tanggal', 'server']","['tunggu tunggu rilis', 'tunggu tunggu', 'tunggu']"
31,64,31_data_download_unduh_download data,"['data', 'download', 'unduh', 'download data', 'update', 'gb', 'unduh data', 'pra', 'pra unduh', 'selesai']","['gimana download download data esok update update download data buka', 'stuck unduh data unduh data masuk ngunduh data pencet tunggu malam cek mlh tampil unduh data gimana', 'pra download data download update aplikasi mlah suruh download data apaalah']"
32,63,32_gb_download_data_download data,"['gb', 'download', 'data', 'download data', 'suruh download', 'suruh', 'download gb', 'data suruh', 'mb', 'sampe gb']","['download data suruh download data gitu ayo turunin minimal', 'bang tingkat update data suruh download ulang cek hilang data suruh download gb', 'download data gb data gb kali suruh download data gb langsung akun biar hehee']"
33,63,33_update_aplikasi_optimal_snapdragon,"['update', 'aplikasi', 'optimal', 'snapdragon', 'versi', 'android', 'smooth', 'ukur', 'lag', 'versi cloud']","['smooth android snapdragon', 'update lag optimal', 'update']"
34,62,34_masuk_masuk masuk_susah masuk_loading masuk,"['masuk', 'masuk masuk', 'susah masuk', 'loading masuk', 'eror masuk', 'masuk error', 'loading', 'masuk eror', 'masuk baik', 'eror']","['susah masuk', 'masuk masuk eror baik', 'loading masuk masuk baik']"
35,58,35_power_power creep_creep_creep power,"['power', 'power creep', 'creep', 'creep power', 'gila power', 'power creepnya', 'creepnya', 'creep gila', 'pikir power', 'gila']","['power creep', 'power creep p', 'power creep f k']"
36,55,36_bug_patah_baik_lancar,"['bug', 'patah', 'baik', 'lancar', 'grafik', 'rendah', 'main', 'patah patah', 'layar', 'update']","['overall rasa suka frame drop fps patah patah wifi lancar bug ganggu nyaman main device pakai hio ram gb tetep frame bug dev baik', 'kecewa berat versi sampe versi bug bug normal nambah bug parah realme c misi cari lokasi patah patah layar hitam langit gar biru layar eror wilayah penacony grafis rendah kota hitam kecuali grafis super rendah normal fix bug biar enak main depan', 'bug update objek sega map lokasi hsr hilang bug genshin rilis bug login error kode inti alami bug grafik bangun tanah bug login player main developer baik update']"
37,55,37_banyak_event_story banyak_banyak story,"['banyak', 'event', 'story banyak', 'banyak story', 'banyak event', 'event banyak', 'yapping banyak', 'banyak bicara', 'story', 'event tarik']","['banyak event event tarik', 'event banyak', 'banyak event']"
