Topic_ID,Coherence_c_v
0,0.6062944435519376
1,0.7667051913782441
2,0.2666853666502193
3,0.37985158436652633
4,0.513897106641331
5,0.5178445973734775
6,0.389480621832892
7,0.6112270109965051
8,0.5723539707953043
9,0.42406153955258763
10,0.6623584389721918
11,0.758045623811265
12,0.44738671258063994
13,0.4939078632962135
14,0.5280588591908197
15,0.353079822464732
16,0.4392715188410294
17,0.7618012968899075
18,0.34129396738961376
19,0.4126168062879433
20,0.37849356677953677
21,0.5772792783765305
22,0.568556202639149
23,0.401599767204598
24,0.4302878870212328
25,0.4251523553249501
26,0.8337024682650291
27,0.5191579906684591
28,0.48157987117108253
29,0.3772788925372774
