Topic,Count,Name,Representation,Representative_Docs
-1,942,-1_hp_main_update_story,"['hp', 'main', 'update', 'story', 'masuk', 'baik', 'bug', 'genshin', 'moga', 'bansos']","['berat genshin impact tunggu baru moga lancar', 'device hp moga baik kerja optimalisasi grafik update device hp berat guna chipset snapdragon hp xiaomi mi pro kelas hp mid high end rasa berat baik optimalisasi grafik suka alur worth suka turn base rpg istilah suka wajib terimkasih', 'bug renderingnya masalah patah sampe force close terus prasaan minecraft genshin impac berat lancar gb kaya berat turn based']"
0,100,0_rate_kalah rate_mulu_kalah,"['rate', 'kalah rate', 'mulu', 'kalah', 'pity', 'hard pity', 'hard', 'menang', 'gapapa', 'menang rate']","['jahat kalah rate mulu', 'kalah rate mulu anjgggg menang', 'kalah rate mulu menang rate hoyo lag']"
1,92,1_karakter_char_musuh_player,"['karakter', 'char', 'musuh', 'player', 'story', 'main', 'moc', 'gacha', 'milik', 'powercreep']","['developer budeg feedback denger suka global passive paksa gacha karakter suka buff permanen lingkung powercreep parah tambah inflasi hp mekanik bos endgame milik mekanik harus karakter player hsr rilis kecewa kembang uninstall laku selamat tinggal hsr run', 'pikir char op semenjak rilis acheron rena abai weakness musuh op ku ubah meta hsr lo rilis char global pasif sulit player casual gacha char suka ngangkat end fun btw char new sdh hapus project kh mulu v lupa char alternatif char sekian banner', 'saran player harap rilis karakter karakter karakter kena powercreep cape farming minggu minggu build karakter rilis karakter basenya op karakter sia hp musuh kena buff besar point utama karakter kena powercreep']"
2,70,2_kikir_pity_fomo_baik,"['kikir', 'pity', 'fomo', 'baik', 'ramah', 'bocil fomo', 'belah kikir', 'orang fomo', 'kakak', 'bocil']","['kikir', 'kikir pity', 'kikir ajak']"
3,68,3_lag_bintang_bug_gas,"['lag', 'bintang', 'bug', 'gas', 'error bug', 'kadang', 'error', 'tarik', 'rating', 'bug fix']","['lag', 'lag', 'singkat padat lag']"
4,55,4_even_got_get_new,"['even', 'got', 'get', 'new', 'many', 'old', 'characters', 'character', 'really', 'need']","['got interested bout dev getting greed every update patch increase mob hp old character damage little bit low got stars end games content future update got global passive form castorice time leave', 'inflationary hp unbalanced characters global passives things worse one victims unbalanced system many old characters longer relevant brought end content', 'boring old characters become weaker every new patch new end content enemies high spd thick hp pool hard unless new characters eidolons old characters uninstal']"
5,50,5_never_ever_need_give,"['never', 'ever', 'need', 'give', 'always', 'back', 'sparkle', 'fun', 'low pity', 'want']","['one ever lag', 'genshin could never', 'genshin could never']"
6,50,6_gacha_ah_castorice_waifu,"['gacha', 'ah', 'castorice', 'waifu', 'ampas', 'gacha ampas', 'chan', 'gacha castorice', 'robin', 'pity']","['moga gacha ampas', 'rating rendah gamampu gacha castorice', 'gacha castorice spam rate gacha diem']"
7,49,7_hehe_bangettt_kasih_hadehh,"['hehe', 'bangettt', 'kasih', 'hadehh', 'ntah', 'finally', 'okee', 'kasih update', 'going', 'bangett']","['fireflynya hehe', 'hehe', 'hehe']"
8,49,8_honkai_star_honkai star_star rail,"['honkai', 'star', 'honkai star', 'star rail', 'rail', 'honkai impact', 'impact', 'genshin', 'bronya', 'gacha']","['honkai star rail tani ku update', 'star honkai star rail turn based', 'honkai star rail turn based']"
9,47,9_update update_update_tunggu_tunggu update,"['update update', 'update', 'tunggu', 'tunggu update', 'story update', 'sigma update', 'rilis update', 'sigma', 'update story', 'rilis']","['update', 'u update', 'comen update']"
10,46,10_turn_turn based_based_based turn,"['turn', 'turn based', 'based', 'based turn', 'turn base', 'base', 'games', 'mobile', 'based baik', 'based games']","['turn based', 'renek turn based', 'jls turn based']"
11,42,11_grafik_desain_tarik_animasi,"['grafik', 'desain', 'tarik', 'animasi', 'cerita', 'segi', 'suka', 'karakter', 'story', 'alur']","['grafik alur cerita suka karakternyaaa update', 'salah turn based tarik alur cerita desain karakter mihoyo kaleng kaleng', 'senang main cerita ikut karakter tarik desain karakter kalah overall turn based']"
12,42,12_doang_char_mah_global passive,"['doang', 'char', 'mah', 'global passive', 'passive', 'hsr', 'chara', 'global', 'player', 'pull']","['global passive mlh ngebuat gambang castorine pake global passive op heal dmg nahan dmg taunt global passive mas quest amphoreus yapping mulu napa hoyo quest sumeru lebar sumeru mas asik overall dri chara story mekanik', 'char b dikit patch enemy kebal tubuh hp badag bet coeg kelarin boss butuh jam dps jadoel wowkkwkw lowspender mah mending koleksi waifu doang ngikutin char daun mah tar ganti char dateng story banyak yapping bangke', 'fomo gara gara char doang begininy tinggal susah aneh emng komunitas hsr nih dikit dikit drama ratting biar kasi bansos jalan terusz anniversary char limit gratis coba fomo build issue dang mending']"
13,41,13_ever_silver wolf_silver_wolf,"['ever', 'silver wolf', 'silver', 'wolf', 'story', 'bet', 'cerita', 'year', 'words', 'decent']","['ever', 'ever', 'story ever']"
14,40,14_powercreep_gila_powercreep gila_power creep,"['powercreep', 'gila', 'powercreep gila', 'power creep', 'creep', 'power', 'sakit', 'sakit powercreep', 'powercreep powercreep', 'gila gila']","['sakit powercreep gila', 'sakit powercreep gila', 'sakit powercreep gila']"
15,38,15_gacha gacha_gacha_gacha ampas_ampas,"['gacha gacha', 'gacha', 'gacha ampas', 'ampas', 'always', 'gacha grafik', 'cool', 'feel', 'nothing', 'lodingnya']","['gacha', 'gacha', 'ngefrem gacha']"
16,37,16_bosan_santai_senang_lumayan,"['bosan', 'santai', 'senang', 'lumayan', 'kece', 'puas', 'kecewa', 'enak', 'bahagia main', 'bosan story']","['bosan', 'bosan', 'senang bosan']"
17,36,17_login_log_error_login error,"['login', 'log', 'error', 'login error', 'jaring', 'eror', 'eror login', 'login login', 'tulis', 'update login']","['log log tulis log error', 'login error pity', 'login error']"
18,34,18_bener_ngebosenin_suka_bener bener,"['bener', 'ngebosenin', 'suka', 'bener bener', 'grafik', 'pokok', 'story', 'lag', 'gameplaynya', 'turn base']","['bgttt suka grafik bener bener wow karakter enak lag prob lag', 'yosh rpg turn base bener bener alam beda ama elemental weakness break pokok segi pov bener bener suasana betah pity', 'bener bener segi main visual bener bener pokok']"
19,33,19_login_akun_masuk_tulis,"['login', 'akun', 'masuk', 'tulis', 'engga', 'gabisa', 'mulu', 'eror', 'solusi', 'tetep']","['install kali sampe nge hapus download tetep masuk login error pake masuk genshin rusak dimainin ribet btw download tod tanggal', 'cakep cuman log suka gabisa login muncul tulis login error kesel', 'susah login login fb akun google nggk masuk tulis login error mulu']"
20,32,20_bosan_belit_main_jalan cerita,"['bosan', 'belit', 'main', 'jalan cerita', 'cerita', 'tarik', 'baik bug', 'gila', 'turn base', 'cerita tarik']","['tarik banyak event tidsk bosan turn based', 'versi jalan cerita kepala pusing belit belit jalan cerita', 'turn base senang ubah pikir turn base bosan']"
21,31,21_perfect_cool_bad_amazing,"['perfect', 'cool', 'bad', 'amazing', 'hebat', 'wow', 'hope', 'sungguh', 'cant log', 'year']","['perfect', 'perfect', 'perfect']"
22,30,22_suka_suka suka_suka karakter_suka animasi,"['suka', 'suka suka', 'suka karakter', 'suka animasi', 'suka main', 'tarik suka', 'nyaaa', 'suka genre', 'combat', 'suka cerita']","['suka', 'suka suka', 'suka beaconcream']"
23,28,23_fps_alami_setting_update,"['fps', 'alami', 'setting', 'update', 'main', 'device', 'crash', 'high', 'lancar', 'support']","['taa mati biar crash optimasi fe settingan low fps lag genshin highest fps lancar', 'fps stuck perangkat support fps setting stuck turun semenjak betah maen hsr developer betul bug', 'moga update depan opsi fps pake fps nyaman fps device kuat bener fps genshin update']"
24,25,24_pity pity_pity_pity rate_rate pity,"['pity pity', 'pity', 'pity rate', 'rate pity', 'gi', 'ajg', 'sigma', 'wangy', 'herta', 'cuy']","['pity', 'pity', 'pity']"
25,25,25_kafka_waifu_mama kafka_mama,"['kafka', 'waifu', 'mama kafka', 'mama', 'nerf', 'mommy kafka', 'mihoyoo', 'fomo jir', 'waifunya', 'oh']","['mama kafka', 'kafka', 'kafka']"
26,25,26_data_download_update data_download data,"['data', 'download', 'update data', 'download data', 'suruh', 'unduh data', 'update', 'unduh', 'ulang', 'suruh download']","['selesai download data langsung mulu najis', 'heran ama login suruh download data login download login download ta lamain login b b', 'bro kali masuk update data download data sampe penuh login update data cepet abis kuota']"
27,23,27_banner banner_banner_obat_bre,"['banner banner', 'banner', 'obat', 'bre', 'masterpiece', 'super', 'install', 'instal', 'strategi', 'cari']","['banner', 'banner', 'banner']"
28,23,28_baguss_bagussss_grafik bagussss_beut,"['baguss', 'bagussss', 'grafik bagussss', 'beut', 'mantab', 'kerenn', 'ff', 'bladie', 'event gratis', 'recomended']","['baguss', 'baguss', 'baguss']"
29,22,29_fitur_tambah fitur_teman_tambah,"['fitur', 'tambah fitur', 'teman', 'tambah', 'skip', 'chat', 'tekan', 'fitur skip', 'butuh', 'dialog']","['tambah fitur dating', 'fitur ngehamilin', 'fitur telanjang']"
