Topic,Count,Name,Representation,Representative_Docs
18,18,18_turn based_based_turn_turn base,"['turn based', 'based', 'turn', 'turn base', 'base', 'persona', 'based tarik', 'tinggi turn', 'tinggi', 'quite']","['turn based', 'turn based', 'puk turn based']"
19,18,19_banner_banner banner_grafik_super,"['banner', 'banner banner', 'grafik', 'super', 'instal', 'bronya', 'trash', 'ngeframe', 'mobile', 'new']","['banner', 'banner', 'masterpiece banner']"
20,17,20_powercreep_gila_powercreep gila_sakit,"['powercreep', 'gila', 'powercreep gila', 'sakit', 'sakit powercreep', 'powercreep powercreep', 'aduh', 'creep gila', 'gila gila', 'creep']","['sakit powercreep gila', 'sakit powercreep gila', 'sakit powercreep gila gila']"
21,14,21_chara_global passive_passive_jadi,"['chara', 'global passive', 'passive', 'jadi', 'global', 'tim', 'org', 'sii', 'spam bintang', 'quest']","['stop spam bintang jir segitunya gasuka global passive sampe spam bintang suka gausah pull kocak gabakal ngerugiin benci global passive turn based', 'banyak b sampe dadak langka char b jorjoran husbu enjoyer suka chara cewe gaadil chara cewe buff treat habis habis gilir chara cowo kit mid seimbangin chara cowo dijadiin bahan merch biar player cewe beli meta hp inflation pikir chara kena powercreep', 'global passive mlh ngebuat gambang castorine pake global passive op heal dmg nahan dmg taunt global passive mas quest amphoreus yapping mulu napa hoyo quest sumeru lebar sumeru mas asik overall dri chara story mekanik']"
22,14,22_ngebosenin_lelah_cerita_males,"['ngebosenin', 'lelah', 'cerita', 'males', 'pokok', 'questnya', 'bangat', 'sumpah', 'lag', 'mudah']","['cerita event questnya ngebosenin lag', 'turn base cerita males baca kesan ngebosenin bangat lag', 'lelah ngerjain questnya lelah build karakter mudah main bener mentang mentang pensi main gimana hoyovers udahlah males mainin lelah rawat akun dihilangin segitu mudah sumpah anj malas bangat']"
23,14,23_pity_pity pity_low pity_clara,"['pity', 'pity pity', 'low pity', 'clara', 'mas', 'mc', 'low', 'umur', 'kurang', '']","['pity', 'pity', 'pity']"
24,14,24_adakan_adakan fitur_genshin_cakep,"['adakan', 'adakan fitur', 'genshin', 'cakep', 'yaa', 'mode', 'hoyo', 'btw', 'gabisa', 'kurang']","['heii hoyo adakan fitur coop jalan jalan cari cest doang pinjem karakter turn based', 'overal cuman nama turn based ken adakan fitur kaya genshin ngotaklah sikit', 'maaf yaa bintang hsr gabisa mode coop genshin hoyo adakan mode coop genshin gacha']"
25,13,25_moga_lancar_bansos_genshin impact,"['moga', 'lancar', 'bansos', 'genshin impact', 'impact', 'update event', 'cepat baik', 'lancar moga', 'heng', 'anniversary']","['moga bansos lancar', 'moga genshin impact banner', 'moga heng imbiitor mimin harap moga']"
26,13,26_honkai_honkai star_rail_star rail,"['honkai', 'honkai star', 'rail', 'star rail', 'star', 'mihoyo', 'dev', 'impact', 'charakter', 'grafik rendah']","['hoyo cuman honkai star rail sulit story unik dll', 'beda hoyo suka jenis main story teks kadang kadang ngakak pelit stellar jade anw selamat honkai star rail award raih', 'honkai star rail story karakter moga gacha menang rate bansos stellar jade dev']"
27,11,27_umur_stabil_berat_jaring stabil,"['umur', 'stabil', 'berat', 'jaring stabil', 'performa', 'inflasi', 'rendah', 'jaring', 'hp', 'lag']","['umur', 'umur', 'umur']"
