Topic,Count,Name,Representation,Representative_Docs
-1,383,-1_story_update_patah_hp,"['story', 'update', 'patah', 'hp', 'genshin', 'fitur', 'karakter', 'lag', 'skip', 'tunggu']","['haaaa yakkk nih lag mulu cutscne patah patah lohhh massaa hp xiomi redmi note patah patah cutscne gensin gensin tuhh sinyal merahhh honkai impact garfis high fps ubah fps tuhh cutscne patah patah temen patah patah depan optimal', 'char power creep banyak yapping fitur skip cepat ngantuk tutup iji', 'tinggal tambah fitur skip story side quest cerita perhatiin skip hemat tenaga mencet text loadnya story utama']"
0,74,0_login_masuk_download_akun,"['login', 'masuk', 'download', 'akun', 'data', 'error', 'server', 'hp', 'update', 'baik']","['install kali sampe nge hapus download tetep masuk login error pake masuk genshin rusak dimainin ribet btw download tod tanggal', 'coba login x masuk', 'heran ama login suruh download data login download login download ta lamain login b b']"
1,68,1_karakter_main_char_player,"['karakter', 'main', 'char', 'player', 'musuh', 'hp', 'story', 'suka', 'global', 'hsr']","['tingkat developer hubung issue global pasif harap player karakter castorice global pasif player catat milik karakter karakter amphoreus sistem pity harap baik tau untung kali rate maksud gimana baik harap baik', 'pikir char op semenjak rilis acheron rena abai weakness musuh op ku ubah meta hsr lo rilis char global pasif sulit player casual gacha char suka ngangkat end fun btw char new sdh hapus project kh mulu v lupa char alternatif char sekian banner', 'lepas khawatir global passive update depan char milik passive gila overall nemenin enjoy moga dev ajar dengar kritik main hsr tahan update char nila ubah dev dengar kritik main']"
2,47,2_bagussss_baikk_bgus_pelit,"['bagussss', 'baikk', 'bgus', 'pelit', 'grafik', 'finally', 'anjay', 'bangett', 'mantab', 'beut']","['bagussss bangettt gacha', 'story grafik bagussss', 'uwaaaaa grafik bagussss seggsss lag']"
3,44,3_castorice_honkai_gacha_waifu,"['castorice', 'honkai', 'gacha', 'waifu', 'pulang', 'spam', 'star', 'robin', 'neng', 'bintang']","['lelah lelah farm material trace relic casto castorice pulang pity gacha sunday casto kena scam tribie tribie gacha castonya kikir', 'bintang gamampu gacha castorice tim cuman fomo bintang gabisa gacha rate global pasife castorice moc dll', 'b castorice waifu gwejh']"
4,42,4_give_need_really_get,"['give', 'need', 'really', 'get', 'patch', 'new', 'character', 'content', 'great', 'better']","['boring old characters become weaker every new patch new end content enemies high spd thick hp pool hard unless new characters eidolons old characters uninstal', 'power new charcter overpower untill old character useless anymore fix powercreep give solutions old chacracter get buff periode patch etc story battle really perfect fix powercreep seriusly', 'got interested bout dev getting greed every update patch increase mob hp old character damage little bit low got stars end games content future update got global passive form castorice time leave']"
5,30,5_fps_controller_alami_support,"['fps', 'controller', 'alami', 'support', 'main', 'frame drop', 'frame', 'drop', 'grafis', 'mode']","['fps stuck perangkat support fps setting stuck turun semenjak betah maen hsr developer betul bug', 'device snapdragon ram alami force close frame drop settingan medium fps update patch', 'moga update depan opsi fps pake fps nyaman fps device kuat bener fps genshin update']"
6,29,6_kecewa berat_kecewa_berat_lumayan,"['kecewa berat', 'kecewa', 'berat', 'lumayan', 'santai', 'berat lancar', 'mihoyo kecewa', 'gacor', 'kece', 'questnya']","['kecewa berat', 'kecewa berat', 'kecewa berat']"
7,27,7_update_update update_sigma_rilis update,"['update', 'update update', 'sigma', 'rilis update', 'rilis', 'tanggal', 'tunggu', 'update biar', 'gacor', 'tunggu rilis']","['update', 'update', 'update']"
8,27,8_bug_bang_komen_oi,"['bug', 'bang', 'komen', 'oi', 'freeze', 'henti', 'free', 'sigma', 'kapitalis', 'star']","['bug freeze oi', 'bug', 'bug']"
9,26,9_kalah rate_kalah_rate_bosan,"['kalah rate', 'kalah', 'rate', 'bosan', 'pity', 'turn', 'hard pity', 'menang rate', 'hard', 'size']","['kalah rate hard pity sj seret', 'hilang rate kesel kalah rate high pity', 'stop kalah rate hard pity menangin rate banner lingsha b']"
10,25,10_perfect_wow_cool_seele,"['perfect', 'wow', 'cool', 'seele', 'bad', 'super', 'dua', 'karya', 'hd', 'cant log']","['perfect', 'perfect', 'perfect']"
11,25,11_gacha gacha_gacha_gacha ampas_ampas,"['gacha gacha', 'gacha', 'gacha ampas', 'ampas', 'cool', 'gensin', 'grafik', 'perfect', 'always', 'bansos']","['e jingyuan gacha', 'gacha', 'gacha']"
12,24,12_mulu_gacha_bintang_jelek,"['mulu', 'gacha', 'bintang', 'jelek', 'kalah', 'biar', 'jan', 'cut', 'mati', 'aneh']","['gacha ampas mulu', 'kalah rate mulu anjgggg menang', 'hard pity mulu gacha manuk']"
13,23,13_suka_suka gacha_detail_suka turn,"['suka', 'suka gacha', 'detail', 'suka turn', 'update suka', 'tarik suka', 'based suka', 'suka pity', 'suka mihoyo', 'combat']","['suka', 'suka', 'suka']"
14,22,14_kafka_mommy_keep_work,"['kafka', 'mommy', 'keep', 'work', 'jir', 'mama kafka', 'mama', 'finally', 'oh', 'great']","['kafka', 'mommy kafka pity', 'mommy kafka']"
15,22,15_ever_story story_robin_ps,"['ever', 'story story', 'robin', 'ps', 'sigma', 'bet', 'story', 'karakter', 'cerita', '']","['sigma robin', 'ever', 'ever']"
16,20,16_pity_btw_hi_nih,"['pity', 'btw', 'hi', 'nih', 'kakak hi', 'il', 'uh', 'ily hsr', 'kakak', 'ily']","['rpg seru btw danheng il', 'event limpah kakak hi pelit gi', 'gatcha kerasss pity']"
17,18,17_log_login_close_eror login,"['log', 'login', 'close', 'eror login', 'full data', 'update versi', 'edit', 'data', 'loading', 'error']","['update versi bug log', 'log log tulis log error', 'download full data login force close baik downloaded full data want log always force close fix']"
