run,n_docs,num_topics,mean_c_v,jaccard_vs_base
1,15620,31,0.6593168263219721,0.6277264797188894
2,15620,36,0.6656796925091801,0.6281974198640863
3,15620,32,0.6753696999626836,0.6179312281285965
