original_index,stemmed,clean_final
0,"['warp', 'kali', 'b', 'banernya', 'clara', 'warp', 'sisa', 'b', 'mulu', 'susah', 'b']",warp kali b banernya clara warp sisa b mulu susah b
1,"['hoyo', 'versi', 'turn', 'base', 'bansos', 'kurang', 'gacha', 'relic', 'ampas', 'rol', 'bug', 'muncul', 'story', 'jajah', 'map']",hoyo versi turn base bansos kurang gacha relic ampas rol bug muncul story jajah map
2,"['semenjak', 'update', 'gb']",semenjak update gb
3,"['global', 'passive', 'inflation', 'pfft', 'hell']",global passive inflation pfft hell
4,"['hapus', 'susah', 'gacha', 'free', 'cari', 'kumpul', 'keburu', 'habis', 'banner']",hapus susah gacha free cari kumpul keburu habis banner
5,"['siii', 'story', 'salju', 'tolong', 'orang', 'nge', 'stuck', 'black', 'screen', 'muncul', 'bug', 'baik', 'bug']",siii story salju tolong orang nge stuck black screen muncul bug baik bug
6,"['imbang', 'character', 'pakai']",imbang character pakai
7,"['chara', 'b', 'hsr', 'rajin', 'bansos', 'yak', 'castorice', 'pulang', 'stelah', 'x', 'pull']",chara b hsr rajin bansos yak castorice pulang stelah x pull
8,"['adakan', 'karakter', 'pacar', 'anak', 'sayang']",adakan karakter pacar anak sayang
9,"['jahat', 'stellar', 'k', 'ku', 'hilang', 'makan', 'bailu', 'hard', 'pit', 'ge', 'castorice', 'oon', 'anjg', 'anjahannajajakjajajs', 'castorice', 'gwa', 'pit', 'parah', 'anj']",jahat stellar k ku hilang makan bailu hard pit ge castorice oon anjg anjahannajajakjajajs castorice gwa pit parah anj
10,"['download', 'data']",download data
11,[],
12,['lumayan'],lumayan
13,"['nak', 'karakter', 'castorice', 'gacha', 'x', 'gacha', 'selamat', 'ulang', 'honkai', 'star', 'rail']",nak karakter castorice gacha x gacha selamat ulang honkai star rail
14,['event'],event
15,"['masterpiece', 'nama', 'honkai', 'star', 'rail', 'salah', 'turn', 'based', 'baik', 'main', 'story', 'kikir', 'player', 'powercreepnya', 'masuk', 'akal', 'karakter', 'pakai', 'yunli', 'powercreep', 'feixiao', 'pakai', 'ngeclear', 'content', 'kikir']",masterpiece nama honkai star rail salah turn based baik main story kikir player powercreepnya masuk akal karakter pakai yunli powercreep feixiao pakai ngeclear content kikir
16,"['cutscene', 'cutscene', 'kemarin']",cutscene cutscene kemarin
17,"['lost', 'netherland', 'area', 'ultimate', 'castorice', 'optimisasi', 'area', 'sebab', 'lag', 'lawan', 'boss']",lost netherland area ultimate castorice optimisasi area sebab lag lawan boss
18,"['bagusss', 'bngttt', 'apalgi', 'alur', 'kisah', 'castorice', 'acheron', 'nyaaa', 'castorice', 'terharuuu', 'sedihh', 'event', 'pelitttt', 'pulakkk']",bagusss bngttt apalgi alur kisah castorice acheron nyaaa castorice terharuuu sedihh event pelitttt pulakkk
19,"['minimal', 'gacha', 'relic', 'tuh', 'disesuain', 'support', 'def', 'dps', 'cr', 'cdm', 'break', 'dps', 'def', 'gimana', 'lo', 'bloon']",minimal gacha relic tuh disesuain support def dps cr cdm break dps def gimana lo bloon
20,"['powercreep', 'ajar']",powercreep ajar
21,"['mah', 'cerita', 'baguss', 'menang', 'bahagia']",mah cerita baguss menang bahagia
22,"['curhat', 'anniv', 'kecewa', 'berat', 'hard', 'pity', 'kena', 'coba', 'anniv', 'buruk', 'wkwkwwk', 'pait', 'cok', 'dev', 'duit']",curhat anniv kecewa berat hard pity kena coba anniv buruk wkwkwwk pait cok dev duit
23,"['security', 'verification', 'delay', 'long']",security verification delay long
24,"['gangerti', 'bilang', 'powecreep', 'gila', 'pribadi', 'f', 'p', 'nguli', 'wangi', 'castorice', 'seele', 'fugue']",gangerti bilang powecreep gila pribadi f p nguli wangi castorice seele fugue
25,"['anti', 'sakit', 'powercreep', 'gila']",anti sakit powercreep gila
26,"['selamat', 'ulang', 'hsr', 'nemenin', 'harga', 'ku', 'hadir', 'karakter', 'cantik', 'tawan', 'herta', 'ambil', 'tahta', 'year', 'mu', 'terus', 'kejut', 'updatenya', 'dukung', 'saat', 'hsr', 'puruk', 'salah', 'trailblazer', 'mu']",selamat ulang hsr nemenin harga ku hadir karakter cantik tawan herta ambil tahta year mu terus kejut updatenya dukung saat hsr puruk salah trailblazer mu
27,"['ku', 'jelek', 'absolute', 'cema']",ku jelek absolute cema
28,"['gimme', 'lc', 'bro']",gimme lc bro
29,"['characters', 'kentang', 'kuat', 'upgrade', 'hoyo', 'versi', 'cloud', 'nih', 'genshin']",characters kentang kuat upgrade hoyo versi cloud nih genshin
30,"['kalah', 'rate', 'kali', 'guaranteed', 'b', 'limited']",kalah rate kali guaranteed b limited
31,"['enak', 'mainin', 'alur', 'job', 'deh']",enak mainin alur job deh
32,['bug'],bug
33,"['nyangka', 'loh', 'hoyo', 'tumben', 'kuro', 'pelit']",nyangka loh hoyo tumben kuro pelit
34,"['bodoh', 'moc', 'ngontak', 'musuh', 'rate', 'gacha', 'sampah', 'terusin', 'gin', 'moga', 'bangkrut']",bodoh moc ngontak musuh rate gacha sampah terusin gin moga bangkrut
35,"['kembang', 'struktur', 'karakter', 'bintang', 'barang', 'jual', 'maksimal', 'dapat', 'timbang', 'aspek', 'aspek', 'kurang', 'staff', 'kurang', 'kreatifitas', 'dana', 'hindar', 'tim', 'kembang', 'timbang', 'sinambung', 'karakter', 'lore', 'cerita', 'elemen', 'mampu', 'rilis', 'karakter', 'tunda', 'patch', 'hasil', 'maksimal']",kembang struktur karakter bintang barang jual maksimal dapat timbang aspek aspek kurang staff kurang kreatifitas dana hindar tim kembang timbang sinambung karakter lore cerita elemen mampu rilis karakter tunda patch hasil maksimal
36,"['fak', 'anying', 'ampas', 'bener', 'x', 'draw', 'karater', 'anying', 'fak', 'update', 'ampas']",fak anying ampas bener x draw karater anying fak update ampas
37,"['rate', 'bailu', 'lc', 'benci', 'usaha', 'keras', 'jam', 'jam', 'kumpul', 'pull', 'lc', 'bailu', 'sedih']",rate bailu lc benci usaha keras jam jam kumpul pull lc bailu sedih
38,"['pity', 'pikir', 'dikit', 'f', 'p', 'kasih', 'high', 'pity', 'gilir', 'waller', 'kasih', 'low', 'pity', 'gitu', 'kasih', 'rate']",pity pikir dikit f p kasih high pity gilir waller kasih low pity gitu kasih rate
39,"['kalah', 'rate', 'mulu', 'bang']",kalah rate mulu bang
40,"['penuh', 'tualang', 'asik', 'story', 'kreatif', 'mainin', 'buka', 'download', 'data', 'bijak', 'developer', 'baik', 'bug']",penuh tualang asik story kreatif mainin buka download data bijak developer baik bug
41,"['waivunya', 'galuh']",waivunya galuh
42,"['turn', 'base', 'bosan', 'milik', 'cerita', 'tarik', 'suka', 'fitur', 'relik', 'rng', 'untung', 'butuh', 'karakter']",turn base bosan milik cerita tarik suka fitur relik rng untung butuh karakter
43,"['nyala', 'ku']",nyala ku
44,"['benci', 'puzzle', 'utama', 'perang', 'makan', 'nih', 'rating']",benci puzzle utama perang makan nih rating
45,['job'],job
46,"['nih', 'dengerin', 'hoyo', 'susah', 'ngadain', 'fitur', 'skip', 'story', 'orang', 'suka', 'story', 'nih', 'orang', 'luang', 'ngerjain', 'story', 'bosan', 'dialog', 'lebar', 'ngikutin', 'story', 'pake', 'fitur', 'parah', 'event', 'dialog', 'lebar', 'males', 'langsung', 'paksa', 'ngikutin', 'stroy', 'bosan', 'sial', 'tulis']",nih dengerin hoyo susah ngadain fitur skip story orang suka story nih orang luang ngerjain story bosan dialog lebar ngikutin story pake fitur parah event dialog lebar males langsung paksa ngikutin stroy bosan sial tulis
47,"['rpg', 'baik', 'moga', 'developer', 'umur', 'bansos', 'aminnn']",rpg baik moga developer umur bansos aminnn
48,"['farm', 'relic', 'ampas']",farm relic ampas
49,"['woi', 'loading', 'nge', 'stuck', 'eek']",woi loading nge stuck eek
50,[],
51,"['story', 'gaca', 'lumayan', 'sistem', 'kalah', 'red', 'dak', 'bener', 'minimal', 'b', 'old', 'setandar']",story gaca lumayan sistem kalah red dak bener minimal b old setandar
52,['bestttt'],bestttt
53,"['sistem', 'gacha', 'mudah']",sistem gacha mudah
54,"['tombol', 'skip', 'jempol', 'kena', 'syndrom']",tombol skip jempol kena syndrom
55,"['mantapzz', 'hehe']",mantapzz hehe
56,"['nyinyir', 'powercreep', 'mending', 'sono', 'bayi', 'dev', 'bansos', 'bejibun', 'ngeluh', 'ngeluh', 'sono', 'grub', 'biru', 'sampah', 'mu', 'bocil', 'bocil']",nyinyir powercreep mending sono bayi dev bansos bejibun ngeluh ngeluh sono grub biru sampah mu bocil bocil
57,"['pikir', 'dikit', 'yatim']",pikir dikit yatim
58,"['akun', 'kena', 'risk', 'pedahal', 'pake', 'cit', 'gajelas', 'hoyotod', 'pindah', 'aja', 'jir']",akun kena risk pedahal pake cit gajelas hoyotod pindah aja jir
59,['gabe'],gabe
60,['wok'],wok
61,['powercreep'],powercreep
62,"['cakap', 'storynya', 'point', 'fitur', 'skip']",cakap storynya point fitur skip
63,"['bad', 'anniversary', 'nd', 'trash', 'gacha', 'rate', 'bansos', 'pull', 'cuman', 'char', 'doang']",bad anniversary nd trash gacha rate bansos pull cuman char doang
64,"['gacha', 'ampas', 'kalah', 'hard', 'pity', 'welt', 'e', 'bailu', 'e', 'sepele', 'e', 'eh', 'hard', 'pity', 'asem', 'sumpah', 'akun', 'model', 'gin', 'mending', 'pensi']",gacha ampas kalah hard pity welt e bailu e sepele e eh hard pity asem sumpah akun model gin mending pensi
65,"['peak', 'animation', 'cutscene', 'character', 'cutscene', 'cantik', 'pokok', 'firstime', 'ngantuk', 'tagih', 'storynya']",peak animation cutscene character cutscene cantik pokok firstime ngantuk tagih storynya
66,['powercreep'],powercreep
67,"['cuman', 'fitur', 'anak']",cuman fitur anak
68,[],
69,"['kalah', 'teruss']",kalah teruss
70,"['hoyo', 'tambahanin', 'fitur', 'kencan', 'nikah', 'ama', 'anak']",hoyo tambahanin fitur kencan nikah ama anak
71,"['suka', 'sistem', 'inflation', 'gila', 'kali', 'cuk', 'kes', 'maksa', 'meta', 'iring', 'update', 'malas']",suka sistem inflation gila kali cuk kes maksa meta iring update malas
72,['gacha'],gacha
73,['update'],update
74,[],
75,"['powercreap', 'gila', 'banyak', 'animasi', 'interaksi', 'zzz', 'tambah', 'capturing', 'genshin']",powercreap gila banyak animasi interaksi zzz tambah capturing genshin
76,[],
77,"['ku', 'powercreep']",ku powercreep
78,"['cerita', 'honkai', 'star', 'rail', 'tuh', 'juara', 'alur', 'bangun', 'rapi', 'karakter', 'karakter', 'konflik', 'dalam', 'relate', 'bab', 'makna', 'latar', 'battle', 'kadang', 'mikir', 'kadang', 'diam', 'alam', 'cerita', 'ngena']",cerita honkai star rail tuh juara alur bangun rapi karakter karakter konflik dalam relate bab makna latar battle kadang mikir kadang diam alam cerita ngena
79,"['story', 'grafik', 'optimalisasi', 'lumayan', 'sayang', 'susah', 'cari', 'relic', 'alhasil', 'char', 'ter', 'build', 'gacha', 'ampas', 'njirrr']",story grafik optimalisasi lumayan sayang susah cari relic alhasil char ter build gacha ampas njirrr
80,"['pelit', 'ramah', 'mula', 'bosan', 'saran', 'developer', 'masukin', 'nikador', 'echo', 'war', 'biar', 'buff', 'boss', 'sunday', 'lemah', 'bangat', 'tuh', 'bos', 'desain', 'minimal', 'bos', 'sundaynya', 'kuatin', 'tingkatin', 'toughnessnya', 'biar', 'mudah', 'kena', 'weakness', 'break', 'tambah', 'variasi', 'serang', 'spd', 'biar', 'resonansi', 'order', 'kena', 'weakness', 'break', 'tunggu', 'bossnya', 'bangkit', 'tantang']",pelit ramah mula bosan saran developer masukin nikador echo war biar buff boss sunday lemah bangat tuh bos desain minimal bos sundaynya kuatin tingkatin toughnessnya biar mudah kena weakness break tambah variasi serang spd biar resonansi order kena weakness break tunggu bossnya bangkit tantang
81,"['fitur', 'hapus', 'cerita', 'tambah']",fitur hapus cerita tambah
82,"['segi', 'desain', 'karakter', 'suka', 'desain', 'karakter', 'karakter', 'event', 'tarik', 'story', 'absolute', 'cema']",segi desain karakter suka desain karakter karakter event tarik story absolute cema
83,"['tolol', 'cape', 'push', 'pity', 'menang', 'rate', 'char', 'sampah']",tolol cape push pity menang rate char sampah
84,"['bansosnya', 'pity', 'x', 'lucu']",bansosnya pity x lucu
85,"['ku', 'alam', 'baik', 'gacha', 'karakter']",ku alam baik gacha karakter
86,[],
87,"['inflation', 'black', 'screen', 'favoritism', 'two', 'anniversary', 'character', 'even', 'trailer', 'anaxa', 'standing', 'alone', 'million', 'dollar', 'company', 'greedy', 'behavior']",inflation black screen favoritism two anniversary character even trailer anaxa standing alone million dollar company greedy behavior
88,"['developer', 'cari', 'relic', 'mudah', 'gila', 'farming', 'relic', 'susah', 'ampun', 'stat', 'jelek', 'bener']",developer cari relic mudah gila farming relic susah ampun stat jelek bener
89,"['kikir', 'rilis', 'karakter', 'bintang']",kikir rilis karakter bintang
90,"['cerita', 'nonton', 'iklan', 'skip', 'skip', 'dialog', 'player', 'senang', 'cerita', 'akan', 'paksa', 'cerita', 'player', 'henti', 'lanjut', 'main']",cerita nonton iklan skip skip dialog player senang cerita akan paksa cerita player henti lanjut main
91,['fugue'],fugue
92,"['balance', 'habis', 'banner', 'castorice', 'anaxa', 'wanters', 'kalah']",balance habis banner castorice anaxa wanters kalah
93,[],
94,[],
95,[],
96,"['march', 'th', 'yukk']",march th yukk
97,"['cerita', 'duel', 'asyik', 'bug', 'download', 'ulang', 'buat', 'baik', 'bug', 'biar', 'enak', 'main', 'dari']",cerita duel asyik bug download ulang buat baik bug biar enak main dari
98,"['kena', 'tmr', 'dev', 'aneh']",kena tmr dev aneh
99,"['developer', 'slow', 'respon', 'ngatasin', 'minta', 'ganti', 'akun', 'solusi', 'cs', 'slow', 'respon', 'keburu', 'malas']",developer slow respon ngatasin minta ganti akun solusi cs slow respon keburu malas
100,"['scammmm', 'jamgan', 'dimainnin']",scammmm jamgan dimainnin
101,"['sakit', 'powercreep', 'gila']",sakit powercreep gila
102,['perfect'],perfect
103,"['char', 'standar', 'pull', 'benner', 'char', 'inginkn']",char standar pull benner char inginkn
104,[],
105,"['beda', 'genshin', 'dapetin', 'item', 'gacha', 'wajar', 'kakak', 'adek', 'kikir', 'tambah', 'chance', 'dapetin', 'karakter', 'b', 'sistem', 'pity', 'salah', 'dapetin', 'stellar', 'jade', 'buka', 'chest', 'jalan', 'gitu', 'males', 'genshin', 'genshin', 'mending', 'funable', 'dieksplor', 'hsr', 'dalem', 'stasiun', 'doang', 'dinikmatin', 'desain', 'bagus', 'karakter', 'cewek', 'gay']",beda genshin dapetin item gacha wajar kakak adek kikir tambah chance dapetin karakter b sistem pity salah dapetin stellar jade buka chest jalan gitu males genshin genshin mending funable dieksplor hsr dalem stasiun doang dinikmatin desain bagus karakter cewek gay
106,"['salah', 'baik', 'main', 'grafis', 'desain', 'karakter', 'pukau', 'story', 'tegang', 'mudah', 'paham', 'gameplaynya', 'santai', 'nyaman', 'nikmat']",salah baik main grafis desain karakter pukau story tegang mudah paham gameplaynya santai nyaman nikmat
107,"['sistem', 'gacha', 'hard', 'pity', 'kalah']",sistem gacha hard pity kalah
108,"['sistem', 'gacha', 'uras', 'isi', 'dompet', 'turun', 'maksimum', 'pity', 'gacha', 'karakter', 'pull', 'pull', 'crash', 'tempur']",sistem gacha uras isi dompet turun maksimum pity gacha karakter pull pull crash tempur
109,"['grafik', 'alur', 'cerita', 'sistem', 'gacha', 'parah']",grafik alur cerita sistem gacha parah
110,"['fitur', 'skip']",fitur skip
111,"['bagussss', 'damn', 'much', 'chara', 'story', 'soooo', 'gooddddd', 'gaaa', 'salaa', 'harap', 'ama', 'gamee', 'hoyooo']",bagussss damn much chara story soooo gooddddd gaaa salaa harap ama gamee hoyooo
112,[],
113,"['hard', 'pity', 'bagst']",hard pity bagst
114,"['dissapointed', 'always', 'got', 'pull', 'star', 'character']",dissapointed always got pull star character
115,"['masuk', 'download', 'data', 'selesai', 'eror']",masuk download data selesai eror
116,"['kurogames', 'tolong', 'baik', 'hadiah', 'aniversarynya', 'kelas', 'aniversary', 'segitu', 'doang', 'kemarin', 'b', 'gratis', 'bodoh']",kurogames tolong baik hadiah aniversarynya kelas aniversary segitu doang kemarin b gratis bodoh
117,"['absolute', 'cema']",absolute cema
118,['baik'],baik
119,"['powercreep', 'brutal', 'enggak', 'buff', 'char', 'old', 'buat', 'fitur', 'anak']",powercreep brutal enggak buff char old buat fitur anak
120,[],
121,"['hard', 'pity', 'lose']",hard pity lose
122,"['yapping', 'rang']",yapping rang
123,"['overall', 'cuman', 'storynya', 'banyak', 'yapping']",overall cuman storynya banyak yapping
124,['games'],games
125,"['yappingnya', 'overall']",yappingnya overall
126,[],
127,['kikir'],kikir
128,"['inflation', 'brutal', 'powercreep', 'character', 'brutal', 'device', 'sampe', 'ngeframe', 'kasih', 'opsi', 'ngilangin', 'teks', 'damagenya', 'ngeliat', 'banyak', 'angka', 'muncul', 'device', 'ngeframe', 'sakit', 'mata', 'cuy', 'du', 'su', 'character', 'dot']",inflation brutal powercreep character brutal device sampe ngeframe kasih opsi ngilangin teks damagenya ngeliat banyak angka muncul device ngeframe sakit mata cuy du su character dot
129,"['ini', 'sangatt', 'baguss']",ini sangatt baguss
130,"['cok', 'kaya', 'jaman', 'gitu', 'cepet', 'ngebosenin']",cok kaya jaman gitu cepet ngebosenin
131,"['login', 'fb', 'pdahl', 'ggl', 'lancar', 'bantu', 'mslh', 'v']",login fb pdahl ggl lancar bantu mslh v
132,"['benci', 'paham']",benci paham
133,"['chat', 'global', 'dev', 'biar', 'ramai', 'sukses']",chat global dev biar ramai sukses
134,[],
135,"['enak', 'santai', 'serius', 'bansos', 'lek']",enak santai serius bansos lek
136,"['walapun', 'inflation', 'bansosnya', 'rek', 'ngeluh', 'inflation', 'banyak', 'skill', 'issues', 'semenjak', 'rilis', 'char', 'castorice', 'skill', 'issues', 'rek']",walapun inflation bansosnya rek ngeluh inflation banyak skill issues semenjak rilis char castorice skill issues rek
137,"['sistem', 'kalah', 'rate', 'pdahal', 'gapernah', 'gacha', 'cocok', 'aniversary', 'surprisenya', 'kirain', 'bahagia', 'gajelas']",sistem kalah rate pdahal gapernah gacha cocok aniversary surprisenya kirain bahagia gajelas
138,"['kendala', 'cuman', 'moc', 'doang', 'susah', 'moga', 'efek', 'buff']",kendala cuman moc doang susah moga efek buff
139,"['minus', 'cerita', 'quest', 'amphoreus', 'informasi', 'cerita', 'tinggal', 'simpati', 'karakter', 'mati']",minus cerita quest amphoreus informasi cerita tinggal simpati karakter mati
140,"['optimasi', 'relic', 'scam']",optimasi relic scam
141,"['absolute', 'cema']",absolute cema
142,"['cerita', 'tele', 'nge', 'tap', 'smpai', 'bkin', 'ngntuk']",cerita tele nge tap smpai bkin ngntuk
143,[],
144,['baikkkkk'],baikkkkk
145,['umur'],umur
146,"['cuman', 'char', 'cowok', 'banyak']",cuman char cowok banyak
147,"['bingung', 'nih', 'masuk', 'suruh', 'download', 'gb', 'ter', 'download', 'masuk', 'download', 'download', 'mending', 'uninstall']",bingung nih masuk suruh download gb ter download masuk download download mending uninstall
148,"['castorice', 'mau', 'fu', 'xuan']",castorice mau fu xuan
149,"['senang', 'main', 'teman', 'event', 'event', 'tarik']",senang main teman event event tarik
150,[],
151,"['orang', 'orang', 'gacha', 'wangi', 'rata', 'gacha', 'relic', 'gacha', 'character', 'ama', 'light', 'cone', 'sekali', 'bau', 'sampe', 'tujuh', 'turun', 'ayo', 'kecewa', 'mainin', 'gungirlz', 'hi', 'dll', 'gada', 'bener', 'ampas', 'bom', 'sistem', 'power', 'creep', 'neken', 'f', 'p', 'player', 'top', 'pensi', 'dengerin', 'hoyo', 'gapapa', 'jelek', 'rate', 'gacha', 'hsr', 'bingung', 'maininnya']",orang orang gacha wangi rata gacha relic gacha character ama light cone sekali bau sampe tujuh turun ayo kecewa mainin gungirlz hi dll gada bener ampas bom sistem power creep neken f p player top pensi dengerin hoyo gapapa jelek rate gacha hsr bingung maininnya
152,"['tidur', 'bangun', 'b']",tidur bangun b
153,"['overall', 'maen', 'ram', 'full', 'kiri', 'cocok', 'main', 'mana']",overall maen ram full kiri cocok main mana
154,"['tombol', 'skip', 'woi']",tombol skip woi
155,"['tambah', 'fitur', 'tombol', 'skip']",tambah fitur tombol skip
156,"['story', 'banding', 'rpg', 'sistem', 'turn', 'base', 'tetep', 'kikir', 'kaya', 'belah']",story banding rpg sistem turn base tetep kikir kaya belah
157,"['bug', 'parah', 'boss', 'kurang', 'fase']",bug parah boss kurang fase
158,"['comment', 'gila', 'powercreep']",comment gila powercreep
159,"['fitur', 'skip']",fitur skip
160,"['banyak', 'bansosnya', 'hoyo']",banyak bansosnya hoyo
161,"['farming', 'relic', 'jelek', 'mulu', 'tombol', 'skip', 'bangke']",farming relic jelek mulu tombol skip bangke
162,"['segi', 'karakter', 'isi', 'trailblazer', 'power', 'cepat']",segi karakter isi trailblazer power cepat
163,"['get', 'acheron', 'give', 'star']",get acheron give star
164,"['sial', 'sistem', 'hoyo', 'gin', 'patch', 'rate', 'hard', 'pity']",sial sistem hoyo gin patch rate hard pity
165,"['kikir', 'developer', 'guardian', 'tales']",kikir developer guardian tales
166,"['dermawan', 'imbang', 'endgame', 'konten', 'sulit', 'pasu', 'mudah', 'story', 'karakter', 'overpower', 'musuh', 'konten', 'end', 'overpower', 'global', 'pasif', 'terap', 'lepas', 'batas', 'mampu', 'karakter', 'tim']",dermawan imbang endgame konten sulit pasu mudah story karakter overpower musuh konten end overpower global pasif terap lepas batas mampu karakter tim
167,"['android', 'lihat', 'orang', 'suka', 'nih', 'harap', 'main', 'android']",android lihat orang suka nih harap main android
168,"['kecewa', 'kiana', 'kaslana', 'kevin', 'welt', 'himeko', 'bronya', 'raiden', 'mei', 'silver', 'wolf', 'dll', 'kiana', 'kaslana', 'kocakkkk', 'seri', 'honkai', 'kiana', 'kaslana']",kecewa kiana kaslana kevin welt himeko bronya raiden mei silver wolf dll kiana kaslana kocakkkk seri honkai kiana kaslana
169,"['banyak', 'event', 'material', 'biar', 'build', 'char', 'cepet']",banyak event material biar build char cepet
170,"['tombol', 'skip', 'lompat', 'recommend']",tombol skip lompat recommend
171,"['norak', 'rating', 'b', 'kecuali', 'rating']",norak rating b kecuali rating
172,"['give', 'castorice', 'okay']",give castorice okay
173,"['ever', 'really', 'enjoy', 'storyline', 'kind', 'things', 'games', 'served', 'storywriting', 'character', 'development', 'lore', 'theory', 'moral', 'message', 'prepared', 'much', 'well', 'boring', 'even', 'turn', 'based', 'genre', 'especially', 'little', 'add', 'change', 'experience', 'turn', 'based', 'desain', 'character', 'looks', 'getting', 'better', 'version', 'also', 'animation', 'fascinating']",ever really enjoy storyline kind things games served storywriting character development lore theory moral message prepared much well boring even turn based genre especially little add change experience turn based desain character looks getting better version also animation fascinating
174,"['power', 'creep']",power creep
175,"['segi', 'grafik', 'story', 'baguss', 'charanya', 'unik', 'bnyak', 'gratisin', 'dermawan', 'sungguh', 'dermawan', 'hoyo', 'digame', 'sungguh', 'n', 'dermawan', 'luv', 'hsr', 'ever', 'f', 'p', 'player', 'sayang', 'simpan', 'huhh', 'bissmillah', 'kebel', 'mumpuni', 'dri', 'segi', 'apa']",segi grafik story baguss charanya unik bnyak gratisin dermawan sungguh dermawan hoyo digame sungguh n dermawan luv hsr ever f p player sayang simpan huhh bissmillah kebel mumpuni dri segi apa
176,"['eksplor', 'gacha', 'ampas', 'kikir', 'impact']",eksplor gacha ampas kikir impact
177,['baguss'],baguss
178,"['gacha', 'still', 'star', 'ptw', 'tw']",gacha still star ptw tw
179,"['try', 'hard', 'end', 'gera', 'meta', 'cepat', 'char', 'dapat', 'makna', 'story', 'amphoreus', 'relevan', 'story', 'ekspektasi', 'apa', 'depan', 'relic', 'lvl', 'ratenya', 'kacau', 'susah', 'roll', 'susah', 'build', 'char', 'desain', 'suka', 'char', 'lari', 'desain', 'npc', 'feel', 'empty', 'playing', 'losing', 'spark']",try hard end gera meta cepat char dapat makna story amphoreus relevan story ekspektasi apa depan relic lvl ratenya kacau susah roll susah build char desain suka char lari desain npc feel empty playing losing spark
180,"['b', 'bayar', 'bayar', 'habis', 'uang', 'b']",b bayar bayar habis uang b
181,"['hoyo', 'akh', 'casto', 'sign']",hoyo akh casto sign
182,"['story', 'animasi', 'dialog', 'jelek', 'banding', 'wuwa', 'tara', 'cut', 'scene']",story animasi dialog jelek banding wuwa tara cut scene
183,"['kit', 'karakter', 'nge', 'power', 'crept', 'karakter']",kit karakter nge power crept karakter
184,"['cs', 'solusi']",cs solusi
185,"['story', 'character', 'auto', 'mudah']",story character auto mudah
186,"['gratis', 'belah', 'dev', 'listened', 'cuman', 'skip', 'dialog', 'males', 'yapping']",gratis belah dev listened cuman skip dialog males yapping
187,"['bug', 'loginnya', 'kurang', 'ngelagnya', 'wifi', 'kenceng', 'malesin', 'tuh', 'ngequest', 'lancar', 'loading', 'ngulang', 'situ', 'mulu', 'ngulang', 'sampe', 'x', 'harap', 'besok', 'optimalin']",bug loginnya kurang ngelagnya wifi kenceng malesin tuh ngequest lancar loading ngulang situ mulu ngulang sampe x harap besok optimalin
188,"['semenjak', 'update', 'black', 'screen']",semenjak update black screen
189,"['moga', 'tahan', 'kembang']",moga tahan kembang
190,"['gacha', 'ampas']",gacha ampas
191,"['rasa', 'frame', 'patah', 'patah', 'tuh', 'patah', 'patah', 'update', 'patch', 'castorice', 'aneh', 'gen', 'loh', 'optimalin']",rasa frame patah patah tuh patah patah update patch castorice aneh gen loh optimalin
192,"['login', 'setan']",login setan
193,"['alur', 'cerita', 'tarik', 'kurang', 'powercreep', 'banyak', 'karakter', 'bintang']",alur cerita tarik kurang powercreep banyak karakter bintang
194,"['gacha', 'busuk', 'pity', 'terooos']",gacha busuk pity terooos
195,"['hadiah', 'player', 'harap', 'depan', 'adakan', 'duel', 'main', 'kompetitif', 'adakan', 'buff', 'karakter', 'lawas', 'kepake', 'karakter']",hadiah player harap depan adakan duel main kompetitif adakan buff karakter lawas kepake karakter
196,"['suka', 'sunday']",suka sunday
197,"['nooo', 'rating', 'gabisa', 'lihat', 'waifu', 'woilah', 'perkara', 'ch', 'doang']",nooo rating gabisa lihat waifu woilah perkara ch doang
198,"['fu', 'xuan', 'bini']",fu xuan bini
199,"['tantang', 'cepeet', 'bosan', 'musuh', 'musuh', 'tantang']",tantang cepeet bosan musuh musuh tantang
200,"['omg', 'yassss', 'got', 'castorice', 'saviour', 'already', 'build', 'omgg', 'ult', 'cooll', 'dragon', 'pollux', 'b', 'remove', 'power', 'creep', 'beg', 'hoyo', 'next', 'update', 'take', 'sunday', 'cage', 'bcs', 'yet']",omg yassss got castorice saviour already build omgg ult cooll dragon pollux b remove power creep beg hoyo next update take sunday cage bcs yet
201,"['karakter', 'mati', 'level', 'karakter', 'lupa', 'naikin']",karakter mati level karakter lupa naikin
202,"['banh', 'kewren', 'efek']",banh kewren efek
203,"['minus', 'pakai', 'wi', 'fi', 'update', 'update']",minus pakai wi fi update update
204,"['tambah', 'fitur', 'anak']",tambah fitur anak
205,"['happy', 'anniversary', 'oh', 'rating', 'b', 'kaya', 'cuman', 'fomo', 'b', 'doang', 'gara', 'gara', 'konten', 'sosmed', 'tp', 'sedih', 'karakter', 'amphoreus', 'mokad']",happy anniversary oh rating b kaya cuman fomo b doang gara gara konten sosmed tp sedih karakter amphoreus mokad
206,"['blade', 'anyink']",blade anyink
207,['bansosnya'],bansosnya
208,"['build', 'lumayan', 'mudah', 'bansos', 'lancar', 'gacha', 'alhamdulillah', 'win', 'banner', 'cuman', 'cutscene', 'ngeleg']",build lumayan mudah bansos lancar gacha alhamdulillah win banner cuman cutscene ngeleg
209,"['alur', 'story', 'sentuh', 'design', 'char', 'bansos']",alur story sentuh design char bansos
