original_index,stemmed,clean_final
13743,[],
13744,[],
13745,"['latar', 'digamenya', 'bintang', 'bintang', 'tembok', 'tembus', 'pandang', 'kecewa', 'layar', 'belakang', 'bug']",latar digamenya bintang bintang tembok tembus pandang kecewa layar belakang bug
13746,"['maaf', 'honkai', 'star', 'rail']",maaf honkai star rail
13747,"['bug', 'baik', 'ku', 'layar', 'putih']",bug baik ku layar putih
13748,"['ramah', 'f', 'p', 'kakak', 'kikir', 'impact']",ramah f p kakak kikir impact
13749,"['donwload', 'server', 'buruk', 'bolak', 'reconnect', 'pada', 'internet', 'wifi', 'aman']",donwload server buruk bolak reconnect pada internet wifi aman
13750,"['asli', 'nagih']",asli nagih
13751,[],
13752,[],
13753,"['become', 'otto']",become otto
13754,"['grafik', 'main', 'suka', 'model', 'turn', 'base']",grafik main suka model turn base
13755,[],
13756,[],
13757,"['langsung', 'hapus', 'daftar', 'login', 'error', 'jaring', 'mlu', 'pgr', 'nikke', 'lancarrrrr']",langsung hapus daftar login error jaring mlu pgr nikke lancarrrrr
13758,['oklah'],oklah
13759,"['tante', 'merah']",tante merah
13760,"['kikir', 'belah', 'awokawokawokawok']",kikir belah awokawokawokawok
13761,"['black', 'swan']",black swan
13762,"['update', 'mudah', 'nge', 'crash']",update mudah nge crash
13763,['burik'],burik
13764,[],
13765,"['raja', 'bansos']",raja bansos
13766,[],
13767,"['buat', 'skip', 'dialog', 'cerita', 'android', 'uras', 'batrai', 'habis', 'batre', 'dialog', 'dri', 'battlenya', 'quest', 'selesai', 'batrai', 'low']",buat skip dialog cerita android uras batrai habis batre dialog dri battlenya quest selesai batrai low
13768,[],
13769,[],
13770,"['tambah', 'fitur', 'raid', 'boss']",tambah fitur raid boss
13771,['login'],login
13772,"['bansos', 'gacha', 'ampas', 'njir', 'malas']",bansos gacha ampas njir malas
13773,['grafik'],grafik
13774,"['ngeleg', 'simpan']",ngeleg simpan
13775,"['much', 'fun', 'deserves', 'year', 'last', 'year', 'story', 'management', 'interesting', 'events', 'would', 'even', 'give', 'stars', 'possible']",much fun deserves year last year story management interesting events would even give stars possible
13776,"['bansos', 'kikir']",bansos kikir
13777,[],
13778,"['dev', 'ki']",dev ki
13779,"['sik', 'asik']",sik asik
13780,"['gasss', 'honkai']",gasss honkai
13781,"['ngebanding', 'bandingin', 'beda', 'cape']",ngebanding bandingin beda cape
13782,[],
13783,"['jade', 'stellar', 'gerat']",jade stellar gerat
13784,[],
13785,"['engine', 'eror', 'kadang', 'buka', 'kadang', 'force', 'close', 'baik']",engine eror kadang buka kadang force close baik
13786,"['nyesel', 'download']",nyesel download
13787,"['tarik', 'cocok', 'suka', 'desain', 'karakter', 'desain', 'map', 'tarik', 'sekian']",tarik cocok suka desain karakter desain map tarik sekian
13788,"['pingin', 'skin', 'march', 'th', 'belobog', 'rilis']",pingin skin march th belobog rilis
13789,"['asem', 'dev', 'firefly', 'gitu', 'matiny', 'nonton', 'b', 'n', 'h', 'furina', 'aj', 'kasihan', 'loh', 'kayakny', 'sedih', 'sate', 'ingat', 'lagu', 'foto', 'atap', 'lupa', 'judul', 'harap', 'mokat', 'mimpi', 'mokat', 'nyata', 'soalny', 'firefly', 'kena', 'sakit', 'nikmat', 'hidup', 'orang', 'gin']",asem dev firefly gitu matiny nonton b n h furina aj kasihan loh kayakny sedih sate ingat lagu foto atap lupa judul harap mokat mimpi mokat nyata soalny firefly kena sakit nikmat hidup orang gin
13790,['kafkaa'],kafkaa
13791,[],
13792,"['hard', 'get', 'star', 'character', 'free', 'pulls', 'much', 'pay', 'broke', 'luck', 'pulls', 'many', 'people']",hard get star character free pulls much pay broke luck pulls many people
13793,"['suka', 'gamenyaa', 'ku', 'gabakal', 'sesuai', 'ekspektasiku', 'ehh', 'lumayanlahh', 'nih', 'gamee', 'memori']",suka gamenyaa ku gabakal sesuai ekspektasiku ehh lumayanlahh nih gamee memori
13794,[],
13795,"['murah', 'hati']",murah hati
13796,"['full', 'pity', 'clara']",full pity clara
13797,['cuy'],cuy
13798,[],
13799,"['umur', 'dermawan']",umur dermawan
13800,['ram'],ram
13801,['masuk'],masuk
13802,[],
13803,"['firefly', 'mati']",firefly mati
13804,"['seruuu', 'parah', 'poko', 'bansos', 'pelit', 'kemarin', 'b', 'gratis', 'behhh', 'event', 'bange', 'story', 'poko']",seruuu parah poko bansos pelit kemarin b gratis behhh event bange story poko
13805,"['story', 'simpel', 'laksana', 'giat', 'fitur', 'auto', 'playnya', 'fokus', 'nikmat', 'story']",story simpel laksana giat fitur auto playnya fokus nikmat story
13806,['hati'],hati
13807,"['rangin', 'doloat', 'data', 'pengunaan', 'memori']",rangin doloat data pengunaan memori
13808,"['upsate', 'ntah', 'force', 'close', 'masuk', 'battle', 'baik']",upsate ntah force close masuk battle baik
13809,"['grafik', 'character', 'monoton']",grafik character monoton
13810,"['segi', 'story', 'gasuka', 'tuh', 'scene', 'berat', 'padahl', 'chip', 'dimen', 'ttp', 'berat', 'ngeleg']",segi story gasuka tuh scene berat padahl chip dimen ttp berat ngeleg
13811,[],
13812,"['ramah', 'satu']",ramah satu
13813,"['sengaja', 'yah', 'akuh', 'nang']",sengaja yah akuh nang
13814,"['bad', 'rng', 'low', 'obtain']",bad rng low obtain
13815,"['tarik', 'senang', 'update', 'baru', 'force', 'close', 'device', 'fe']",tarik senang update baru force close device fe
13816,"['nickname', 'vodker']",nickname vodker
