original_index,cleaned,normalized
6902,akhir akhir ini jadi suka game turn base mantap pokoknya,akhir akhir ini jadi suka game turn base mantap pokoknya
6903,prowercreep ga ngotak,prowercreep tidak berpikir
6904,sistem gacha ampas parah,sistem gacha ampas parah
6905,too much power creep,too much power creep
6906,secara keseluruhan gameplay dan alur cerita bagus hanya saja pas loading screen ngeframe parah tapi pas maen ga nge lag mau pun frame drop,secara keseluruhan game play dan alur cerita bagus hanya saja ketika loading screen ngeframe parah tapi ketika maen tidak nge lag mau pun frame drop
6907,tolong tambah fitur skip bikin rusak keyboard dan mouse,tolong tambah fitur skip buat rusak keyboard dan mouse
6908,gamenya baguss bansos ga kurng dan slalu cukup pokokny perfect banget,game nya baguss bansos tidak kurang dan selalu cukup pokokny perfect sekali
6909,,
6910,gamenya sangat bagus dari pada pvz fusion,game nya sangat bagus dari pada pvz fusion
6911,aku suka ultimate firefly,aku suka ultimate firefly
6912,kenapa saya blm dpt sunday,kenapa saya belum dapat sunday
6913,ayolah hoyo tambahin fitur skip main side story berbelit belit karakter juga kaku coba dong liat game tetangga ada fitur skip walaupun story to the point yakin bertahun tahun gak dipertimbangin,ayolah hoyo tambahkan fitur skip main side story berbelit belit karakter juga kaku coba dong lihat game tetangga ada fitur skip walaupun story to the point yakin bertahun tahun tidak dipertimbangin
6914,di penacony memiliki story yang bagus grafik yang mantap kualitas music yang tinggi bagus dan teka teki ilusi yang sangat luar biasa the best hoyo team,di penacony memiliki story yang bagus grafik yang mantap kualitas music yang tinggi bagus dan teka teki ilusi yang sangat luar biasa the best hoyo team
6915,game busuk saya gacha selalu dapat di hard pity saat posisi rate off maupun rate on jarang menang rate off dan yang paling menyedihkan lagi akun saya dalam posisi end game yang berarti sudah sangat terbatas dalam hal mencari stellar jade game ini baik dalam memberikan hadiah tetapi itu hanya untuk pancingan agar saya mau gacha lebih jika menginginkan karakternya karena powercreep dalam game ini yang terlalu cepat seperti game kakak nya honkai impact saya memutuskan untuk pensiun,game busuk saya gacha selalu dapat di hard pity saat posisi rate off maupun rate on jarang menang rate off dan yang paling menyedihkan lagi akun saya dalam posisi end game yang berarti sudah sangat terbatas dalam hal mencari stellar jade game ini baik dalam memberikan hadiah tetapi itu hanya untuk pancingan agar saya mau gacha lebih jika menginginkan karakternya karena powercreep dalam game ini yang terlalu cepat seperti game kakak nya honkai impact saya memutuskan untuk pensiun
6916,gamenya bagus gak bohong cuma ukuran gamenya semakin update semakin besar untuk ukuran mobile sampe gb gilaaaaaaa,game nya bagus tidak bohong cuma ukuran game nya semakin update semakin besar untuk ukuran mobile sampe gb gilaaaaaaa
6917,seruu,seruu
6918,cukup fair untuk f p,cukup fair untuk f p
6919,sebenarnya aku sudah main game ini tapi harus unduh nah itu unduh nya lama dan tolong buat unduhnya jangan banyak ya karna pertama kali main sudah suka banget soalnya aku suka karakter ceweknya,sebenarnya aku sudah main game ini tapi harus unduh nah itu unduh nya lama dan tolong buat unduhnya jangan banyak ya karna pertama kali main sudah suka sekali soalnya aku suka karakter ceweknya
6920,game nya seperti game sebelah tapi bagus kok ceritanya aku suka sama desain karakternya karna lebih stylish dan keren ajaa gitu dan yang bikin aku kaget ada himeko akhirnya aku bisa melihat tante ku dari sekian lama t t tetapi aku sekarang sudah pensi karna udah ga sanggup ngelanjutin ceritanya semakin berat dan semakin susah puzzlenya ohiya ini bisa jadi game ngantuk karna yaaa gitu turn based gamenya ohiya ada raiden woi disana tapi namanya bukan raiden mei atau raiden ei,game nya seperti game sebelah tapi bagus kok ceritanya aku suka sama desain karakternya karna lebih stylish dan keren ajaa gitu dan yang buat aku kaget ada himeko akhirnya aku bisa melihat tante ku dari sekian lama t t tetapi aku sekarang sudah pensi karna sudah tidak sanggup melanjutkan ceritanya semakin berat dan semakin susah puzzlenya ohiya ini bisa jadi game ngantuk karna yaaa gitu turn based game nya ohiya ada raiden woi disana tapi namanya bukan raiden mei atau raiden ei
6921,menarik seru dan have fun,menarik seru dan have fun
6922,overall this is great,overall this is great
6923,udah yapping nya,sudah yapping nya
6924,game baik semua event nya ga ada yg bosenin sama sekali desain desain karakter makin cakep mao yg luas serta banyaknya sumber sj jadi favorit saya puzzle nya gaada yg harus mikir keras dan story nya yg sangat bagus,game baik semua event nya tidak ada yang membuat bosan sama sekali desain desain karakter makin cakep mao yang luas serta banyaknya sumber sj jadi favorit saya puzzle nya tidak ada yang harus mikir keras dan story nya yang sangat bagus
6925,fitur hapus data error data saya terus terhapus walaupun ga mengaktifkatan fitur hapus data saat ganti akun jadi harus terus download dan itu lama dan menghabiskan kuota,fitur hapus data error data saya terus terhapus walaupun tidak mengaktifkatan fitur hapus data saat ganti akun jadi harus terus download dan itu lama dan menghabiskan kuota
6926,let me be one of your beya tester,let me be one of your beya tester
6927,kepada developer untuk update ke depannya saya berharap untuk lebih meng optimalisasi kan lagi dalam performa nya karena game ini tergolong cukup berat untuk device low end,kepada developer untuk update ke depannya saya berharap untuk lebih meng optimalisasi kan lagi dalam performa nya karena game ini tergolong cukup berat untuk device low end
6928,i like this game but hoyo pls make the cloud version pls,i like this game but hoyo please make the cloud version please
6929,hoyo bikin cloudnya pls hoyoverse make the cloud version please,hoyo buat cloudnya please hoyoverse make the cloud version please
6930,very lag padahal aku pake iphone pro max,very lag padahal aku pake iphone pro max
6931,kenapa saya mau login akun lewat facebook gak bisa,kenapa saya mau login akun lewat facebook tidak bisa
6932,cukup bagus,cukup bagus
6933,ini kenapa sejak ada fitur hapus data setiap mau ganti selalu donlot data yg mayan gede buset dah sangat mengecewakan,ini kenapa sejak ada fitur hapus data setiap mau ganti selalu unduh data yang lumayan gede buset sudah sangat mengecewakan
6934,bagus bet,bagus bet
6935,game nya udh bagus tpi gachanya yg kurang bagus jir lah hilangkan rate of plisssssssss,game nya sudah bagus tapi gachanya yang kurang bagus jir lah hilangkan rate of plisssssssss
6936,asik,asik
6937,menurut gua story quest nya aja udah bagus banget kemudian event nya unik puzzle dari game ini tuh menarik banget karena cukup menantang bagi pemainnya dan desain dari karakter beserta skill nya juga pada bagus dan unik banget,menurut gua story quest nya saja sudah bagus sekali kemudian event nya unik puzzle dari game ini tuh menarik sekali karena cukup menantang bagi pemainnya dan desain dari karakter beserta skill nya juga pada bagus dan unik sekali
6938,sediakan fitur hapus data quest lama,sediakan fitur hapus data quest lama
6939,gacha nya ampas banget udh nyentuh pull ampas kikirnya tolong di jaga jangan kaya genshin lah,gacha nya ampas sekali sudah nyentuh pull ampas kikirnya tolong di jaga jangan kaya genshin lah
6940,udah jarang main ini game soalnya setiap masuk login eror mulu,sudah jarang main ini game soalnya setiap masuk login eror mulu
6941,oi servernya benerin lah mau login malah kena kode eror terus,oi servernya benerin lah mau login malah kena kode eror terus
6942,tolong ini kenapa saya tidak bisa masuk ke gameplay kena kode error,tolong ini kenapa saya tidak bisa masuk ke game play kena kode error
6943,game nya knp ya udh download semua data tpi ttp ga bisa masuk habisin kouta bngt buat download data tpi hasil nya ga memuaskan kecewa bngt,game nya kenapa ya sudah download semua data tapi ttp tidak bisa masuk habisin kouta sekali buat download data tapi hasil nya tidak memuaskan kecewa sekali
6944,punya saya background pesawatnya tidak ada jadi serasa sperti melayang diantariksa sulit buat explore tolong bug nya di perbaiki,punya saya background pesawatnya tidak ada jadi serasa sperti melayang diantariksa sulit buat explore tolong bug nya di perbaiki
6945,mengalami force close padahal baru beberapa hari,mengalami force close padahal baru beberapa hari
6946,,
6947,relic bapuk,relic bapuk
6948,minim gameplay cuman ngandelin char limited lu gak punya lu gak bisa clear stage udah data gameplay png repetif juga ini game overated,minim game play cuman ngandelin char limited kamu tidak punya kamu tidak bisa clear stage sudah data game play png repetif juga ini game overated
6949,game baik,game baik
6950,game ga jelas masa mau login ke akun utama aja gabisa keterangannya selalu sama terlalu banyak permintaan gitu aja terus dari kemarin,game tidak jelas masa mau login ke akun utama saja gabisa keterangannya selalu sama terlalu banyak permintaan gitu saja terus dari kemarin
6951,nice,nice
6952,mau download data eror gajelas mulu jaringan udh bagus berhenti berhenti mulu b bi gak jelas bnget ni gake bikin emosi,mau download data eror gajelas mulu jaringan sudah bagus berhenti berhenti mulu b bi tidak jelas sekali ni gake buat emosi
6953,tambahin tombol skip dongs,tambahkan tombol skip dongs
6954,login eror,login eror
6955,i love hsr sm,i love hsr sama
6956,bukannya senang karna main malah stress gara gara hp boss ga ngotak,bukannya senang karna main malah stress gara gara hp boss tidak berpikir
6957,dari segi cerita keren beut gila walaupun bukan penggemar turn base tapi tetep sukak karna lorenya kekompakan chara dan gimana event semuanya seru buat dimainin cuman sayang yg ga ngelag cuman di belobog nasib hp kentank,dari segi cerita keren beut gila walaupun bukan penggemar turn base tapi tetep sukak karna lorenya kekompakan chara dan gimana event semuanya seru buat dimainin cuman sayang yang tidak ngelag cuman di belobog nasib hp kentank
6958,good today,good today
6959,game yangg bagus hd dan ringan di hp,game yangg bagus hd dan ringan di hp
6960,sebenernya cerita nya bagus dll aku suka tapi sayang nya pas gali asik lawan musuh tiba tiba di kasih notif terus di paksa keluar pas mau login lagi eh di suruh unduh data lagi dan itu butuh waktu yang lama,sebenarnya cerita nya bagus dll aku suka tapi sayang nya ketika gali asik lawan musuh tiba tiba di kasih notif terus di paksa keluar ketika mau login lagi eh di suruh unduh data lagi dan itu butuh waktu yang lama
6961,gua dah hari download data nya kumpelit kenap ga bisa login login eror terus gitu mulu kenap ya gerafik bagus jadi gua kasih bintang dulu ya,gua sudah hari download data nya kumpelit kenap tidak bisa login login eror terus gitu mulu kenap ya gerafik bagus jadi gua kasih bintang dulu ya
6962,rapa pisang,rapa pisang
6963,geme babi game tolol,game babi game tolol
6964,saya terkena force close terus,saya terkena force close terus
6965,best game ever no debate,best game ever no debate
6966,sebenarnya bagus cuma masih ada crash atau bug tiap masuk kamar march itu layar tiba tiba jadi aneh padahal pas keluar dari passenger cabin gak kenapa kenapa tolong benerin ya,sebenarnya bagus cuma masih ada crash atau bug tiap masuk kamar march itu layar tiba tiba jadi aneh padahal ketika keluar dari passenger cabin tidak kenapa kenapa tolong benerin ya
6967,,
6968,tidak pelit bansos,tidak pelit bansos
6969,akhirnya data yg ga guna bisa dihapus sekarang masalah nya ada di gacha masa dapet bintang ny susah,akhirnya data yang tidak guna bisa dihapus sekarang masalah nya ada di gacha masa dapat bintang nya susah
6970,honkai star rail no,honkai star rail no
6971,gem baik,game baik
6972,seru tapi terlalu berat,seru tapi terlalu berat
6973,game nya bagus dan seru tapi kalo bisa tambahin fitur lompat sama dash itu aja sih,game nya bagus dan seru tapi kalau bisa tambahkan fitur lompat sama dash itu saja sih
6974,bagus tapi hard pity mulu setiap gacha manuk,bagus tapi hard pity mulu setiap gacha manuk
6975,bansos lancar,bansos lancar
6976,apa ini ketika saya bermain game berhenti secara terpaksa ada apa hoyo sebelumnya aman aman saja,apa ini ketika saya bermain game berhenti secara terpaksa ada apa hoyo sebelumnya aman aman saja
6977,saya mohon di update depan nanti ada fitur multiplayer,saya mohon di update depan nanti ada fitur multiplayer
6978,setelah ada fitur hapus data pas ganti akun selalu di minta download data mulu ga kayak genshin download data yg hilang cuma sekali doang setelah itu ga perlu download lagi,setelah ada fitur hapus data ketika ganti akun selalu di minta download data mulu tidak seperti genshin download data yang hilang cuma sekali doang setelah itu tidak perlu download lagi
6979,kamu tahu saya sangat bosam dalam menyelesaikan even karena itu beberapa even tidak ku selesaikan kan tapi tidak untuk even merenovasi kamar di itu sangat mengasikan saya harap ada even semacam ini di masa depan,kamu tahu saya sangat bosam dalam menyelesaikan even karena itu beberapa even tidak ku selesaikan kan tapi tidak untuk even merenovasi kamar di itu sangat mengasikan saya harap ada even semacam ini di masa depan
6980,story bagus grafik dan gameplay nggak gampang nge bosenin tapi sayang kadang kalau login akun suka eror selalu bertulis terlalu banyak aksi coba beberapa saat kemudian saya tak tunggu tapi tetap gak bisa bisa nyampe hari lebih,story bagus grafik dan game play tidak mudah nge membuat bosan tapi sayang kadang kalau login akun suka eror selalu bertulis terlalu banyak aksi coba beberapa saat kemudian saya tak tunggu tapi tetap tidak bisa bisa sampai hari lebih
6981,hard pity terus belakangan ini di versi versi terbaru ini tau tau gacha kalah rate ga masalah kalah rate juga cuma ya jangan kalah di hard pity juga jadinya kehabisan bahan buat gacha tapi oke lah udah bagus di versi sekarang dan juga data game sebelumnya bisa di hapus jadi lumayan meringankan di tunggu di update selanjutnya,hard pity terus belakangan ini di versi versi terbaru ini tau tau gacha kalah rate tidak masalah kalah rate juga cuma ya jangan kalah di hard pity juga jadinya kehabisan bahan buat gacha tapi oke lah sudah bagus di versi sekarang dan juga data game sebelumnya bisa di hapus jadi lumayan meringankan di tunggu di update selanjutnya
6982,selalu kalah,selalu kalah
6983,untuk game nya oke sih cuma pas udah download data nya udah selesai udah loading pas masuk malah keluar keluar ga jelas padahal syarat hp gw udah terpenuhi anj,untuk game nya oke sih cuma ketika sudah download data nya sudah selesai sudah loading ketika masuk malah keluar keluar tidak jelas padahal syarat hp saya sudah terpenuhi anj
6984,awalnya saya main tidak pernah mengalami freze namun setelah update kemarin saya mengalami freze yang cukup parah mohon untuk segera di atasi,awalnya saya main tidak pernah mengalami freze namun setelah update kemarin saya mengalami freze yang cukup parah mohon untuk segera di atasi
6985,sehat sehat game baik,sehat sehat game baik
6986,kedepannya kasi character ga pake baju ya,kedepannya kasih character tidak pake baju ya
6987,jir pity dapat jinyuan,jir pity dapat jinyuan
6988,keren,keren
6989,bagus sih tapi pull karakter selalu hard pity rate on atau rate off selalu hard pity pls hoyo soft pity,bagus sih tapi pull karakter selalu hard pity rate on atau rate off selalu hard pity please hoyo soft pity
6990,gamenya bagus banget sayangnya aku bermain sering mendapatkan hard pity,game nya bagus sekali sayangnya aku bermain sering mendapatkan hard pity
6991,sering frame drop sm ngeglitch semoga aja bisa diperbaiki,sering frame drop sama ngeglitch semoga saja bisa diperbaiki
6992,game ini sangat baik tidak seperti kikir impak,game ini sangat baik tidak seperti kikir impak
6993,gamenya bgs tapi pas aku coba msk gak bisa msk padahal jaringan bgs tapi gak bisa masuk sama sekali tolong di fiks yah,game nya bagus tapi ketika aku coba msk tidak bisa msk padahal jaringan bagus tapi tidak bisa masuk sama sekali tolong di fiks yah
6994,game jelek ga login bulan selalu akun tidak ditemukan apa banget ini dikira ga cape ngurus akun,game jelek tidak login bulan selalu akun tidak ditemukan apa sekali ini dikira tidak cape ngurus akun
6995,kebanyakan update anying baru ditinggal beberapa hari dah update lagi,kebanyakan update anying baru ditinggal beberapa hari sudah update lagi
6996,aku nak bansos lagi,aku nak bansos lagi
6997,game ya bagus,game ya bagus
6998,gameplay dengan kekurangan dan kelebihan yang membuat player harus mengandalkan sebuah perhitungan dan keputusan yang tepat cuma tolong tetapkan atau team yang tidak terkena powercreep setidaknya masih bisa dipake agar bisa menyelesaikan konten yang akan didatangkan lama lama player akan kehilangan minat karena dps yang mereka sukai ter powercreep secara ga masuk akal meski bonusnya sangat deras agar bisa dapat dps baru tapi tetap ga akan sebanding karena sistem gacha,game play dengan kekurangan dan kelebihan yang membuat player harus mengandalkan sebuah perhitungan dan keputusan yang tepat cuma tolong tetapkan atau team yang tidak terkena powercreep setidaknya masih bisa dipake agar bisa menyelesaikan konten yang akan didatangkan lama lama player akan kehilangan minat karena dps yang mereka sukai ter powercreep secara tidak masuk akal meski bonusnya sangat deras agar bisa dapat dps baru tapi tetap tidak akan sebanding karena sistem gacha
6999,ini adalah game yang sangat cocok dengan saya karena tidak perlu orang lain untuk menyelesaikan misi cukup sendiri saja tidak ada pvp jadi tidak perlu top up terus untuk bersaing konten gamenya sangat menarik dan menyenangkan banyak meme juga disini jadi sangat menghibur dan juga saya sangat menantikan collab nanti dengan fate stay night karena saya menyukai anime tersebut tetap semangat para developer semoga game hsr semakin baik dari hari ke hari,ini adalah game yang sangat cocok dengan saya karena tidak perlu orang lain untuk menyelesaikan misi cukup sendiri saja tidak ada pvp jadi tidak perlu top up terus untuk bersaing konten game nya sangat menarik dan menyenangkan banyak meme juga disini jadi sangat menghibur dan juga saya sangat menantikan collab nanti dengan fate stay night karena saya menyukai anime tersebut tetap semangat para developer semoga game hsr semakin baik dari hari ke hari
7000,min knp pas mau log in permintaan terlalu banyak,min kenapa ketika mau log in permintaan terlalu banyak
7001,update sangat memuaskan dengan adanya fitur untuk menghapus data yang sudah tidak diperlukan bisa hemat sampe gb peak hsr,update sangat memuaskan dengan adanya fitur untuk menghapus data yang sudah tidak diperlukan bisa hemat sampe gb peak hsr
7002,gamenya udah enak banget buat gua yang udah incip incip semua game hoyoverse dan hati gw tetep stay ke honkai star rail dari awal rilis sampe sekarang itu juga menurut gw pribadi lebih suka game turn based dan terimakasih hoyoverse telah membuat game sebagus honkai star rail muachhh mama mei,game nya sudah enak sekali buat gua yang sudah incip incip semua game hoyoverse dan hati saya tetep stay ke honkai star rail dari awal rilis sampe sekarang itu juga menurut saya pribadi lebih suka game turn based dan terimakasih hoyoverse telah membuat game sebagus honkai star rail muachhh mama mei
7003,ada beberapa hal yang membuat gua berhenti main game ini powercreep yang berlebihan walaupun tiap update selalu banyak bansos tetapi selalu ada char baru seolah kita tuntut untuk mengikuti meta baru tersebut sehingga char lama tidak sekuat dulu lagi anihilation gang yang terlupakan bayangi aja lu buat char sekeren itu malah dijadiin tumbal buat acheron kocak story yang membosankan apa coba story rappa yang isinya kebanyakan brainrot gak guna,ada beberapa hal yang membuat gua berhenti main game ini powercreep yang berlebihan walaupun tiap update selalu banyak bansos tetapi selalu ada char baru seolah kita tuntut untuk mengikuti meta baru tersebut sehingga char lama tidak sekuat dulu lagi anihilation gang yang terlupakan bayangi saja kamu buat char sekeren itu malah dijadiin tumbal buat acheron kocak story yang membosankan apa coba story rappa yang isinya kebanyakan brainrot tidak guna
7004,fireflies cantik banget loh ya,fireflies cantik sekali loh ya
7005,tolong perbaiki masalah bug log in error masalahnya setelah hapus data terdahulu dan mau login kembali selalu error,tolong perbaiki masalah bug log in error masalahnya setelah hapus data terdahulu dan mau login kembali selalu error
7006,grafik bagus karakternya gk mati maksudnya ga surem banyak event,grafik bagus karakternya tidak mati maksudnya tidak surem banyak event
7007,saya lumayan suka gamenya dari segi lore dan karakter saya lumayan suka tapi yg bikin membosankan itu saat bertarung tidak bisa manual seperti di genshin impact padahal lebih seru bertarung manual seperti di genshin tapi lorenya banyak yang tidak terlalu saya pahami tolong dikembangkan lagi ya hoyo terimakasih,saya lumayan suka game nya dari segi lore dan karakter saya lumayan suka tapi yang buat membosankan itu saat bertarung tidak bisa manual seperti di genshin impact padahal lebih seru bertarung manual seperti di genshin tapi lorenya banyak yang tidak terlalu saya pahami tolong dikembangkan lagi ya hoyo terimakasih
7008,overall game buatan hoyovers memang tidak pernah gagal dalam membuat game yang memiliki grafik voice music dan detail yang sangat menarik dan bagus tetapi saran saja adakan fitur skip story tidak semua orang memiliki waktu lebih untuk bermain game dan menambah fitur skip story dapat mempercepat proses misinya beres,overall game buatan hoyovers memang tidak pernah gagal dalam membuat game yang memiliki grafik voice music dan detail yang sangat menarik dan bagus tetapi saran saja adakan fitur skip story tidak semua orang memiliki waktu lebih untuk bermain game dan menambah fitur skip story dapat mempercepat proses misinya beres
7009,game nya udah bagus tapi tolong diperbaiki untuk pengurangan lagnya kayak genshin impact gak terlalu lag,game nya sudah bagus tapi tolong diperbaiki untuk pengurangan lagnya seperti genshin impact tidak terlalu lag
7010,bintang update payah masa setiap ganti akun harus download lagi padahal ngga di aktifin auto hapus datanya,bintang update payah masa setiap ganti akun harus download lagi padahal tidak di aktifin auto hapus datanya
7011,jelek gwa udah banyak kali gacha gk pernah dapet tu char b,jelek gwa sudah banyak kali gacha tidak pernah dapat tu char b
7012,lma banget klo mau di loginin banyak aturanyyaaaaaaaa klo mau login hrus periksa update data dluuuuuuuuu mohon itu di hilangkan,lma sekali kalau mau di loginin banyak aturanyyaaaaaaaa kalau mau login harus periksa update data dluuuuuuuuu mohon itu di hilangkan
7013,ini kenapa game nya saat selesai bermain game lalu keluar dan masuk lagi harus download ulang data padahal tadi pagi saya sudah download data dan kenapa saya harus download lagi padahal sudah saya download ini developer gamenye mohon diperbaiki lagi dan saya sudh letih letih menunggu lama untuk mendownload data game,ini kenapa game nya saat selesai bermain game lalu keluar dan masuk lagi harus download ulang data padahal tadi pagi saya sudah download data dan kenapa saya harus download lagi padahal sudah saya download ini developer gamenye mohon diperbaiki lagi dan saya sudh letih letih menunggu lama untuk mendownload data game
7014,main hampir tahun dan update terburuk dari sekian banyak versi beberapa karakter bisu story tidak menarik schene terlalu banyak plagiarism dengan game lain stelar jade juga seret kembalikan hsr kami yg dulu,main hampir tahun dan update terburuk dari sekian banyak versi beberapa karakter bisu story tidak menarik schene terlalu banyak plagiarism dengan game lain stelar jade juga seret kembalikan hsr kami yang dulu
7015,update yg skrng ga ngotak asli biasanya gb di bawah gb lah skrng gb asli dah ini dev ga mikirin player,update yang skrng tidak berpikir asli biasanya gb di bawah gb lah skrng gb asli sudah ini dev tidak mikirin player
7016,weh apani honkai star rail ga mau ngunduh data lewat wifi kenapa ni penyebabnya benerin lah update an ini,weh apa ini honkai star rail tidak mau ngunduh data lewat wifi kenapa ni penyebabnya benerin lah update an ini
7017,the memory chaos in this version really makes me want to stop playing i will stop playing if hsr doesn t fix it,the memory chaos in this version really makes me want to stop playing i will stop playing if hsr doesn t fix it
7018,game terbaik yang pernah gw coba cocok untuk yang gasuka eksplor alam berlebihan tapi dapet jalan cerita yang menarik,game terbaik yang pernah saya coba cocok untuk yang gasuka eksplor alam berlebihan tapi dapat jalan cerita yang menarik
7019,ok,ok
7020,best game,best game
7021,tolong diperbaiki kontrol jalan karakter yng dikiri bawah tiap kali mau jalan kedepan mlh jalan kebelakang terus mohon untuk bantuannya,tolong diperbaiki kontrol jalan karakter yang dikiri bawah tiap kali mau jalan kedepan mlh jalan kebelakang terus mohon untuk bantuannya
7022,story di gamenya bagus dan asyik banget buat dimainkan selain itu banyak juga bansonya bintang,story di game nya bagus dan asyik sekali buat dimainkan selain itu banyak juga bansonya bintang
7023,drop rate nya sampah banget taaaiiii,drop rate nya sampah sekali taaaiiii
7024,minta mas ahadd,minta mas ahadd
7025,hoyo kenapa sih lu bikin game se peak ini jadi nga tidur gw cuman demi ngehias kamar baru gw,hoyo kenapa sih kamu buat game se peak ini jadi nga tidur saya cuman demi ngehias kamar baru saya
7026,saya mohon agar secepatnya menambahkan fitur hapus data quest terdahulu untuk meminimize ukuran data game karena sudah melebihi kapasitas penyimpanan game turn base yang mana tembus ukuran data keseluruhan hampir gb terimakasih dan untuk pra unduh tolong banget bedain ukuranya dengan pc ps terimakasih,saya mohon agar secepatnya menambahkan fitur hapus data quest terdahulu untuk meminimize ukuran data game karena sudah melebihi kapasitas penyimpanan game turn base yang mana tembus ukuran data keseluruhan hampir gb terimakasih dan untuk pra unduh tolong sekali bedain ukuranya dengan pc ps terimakasih
7027,stop copying from other games,stop copying from other games
7028,unbalanced game player is forced to top up for end this game content,unbalanced game player is forced to top up for end this game content
7029,grafik bagus dan game turu,grafik bagus dan game turu
7030,game nya santai best lah bwt nemenin gabut,game nya santai best lah bwt nemenin gabut
7031,lel,lel
7032,jangan update banyak banyak kalo isinya cuma bacot doang min,jangan update banyak banyak kalau isinya cuma bicara doang min
7033,game baik banget cuy,game baik sekali cuy
7034,malam game baik,malam game baik
7035,ketagih gua mainin,ketagih gua mainin
7036,game yang bagus grafik textur bagus bintang,game yang bagus grafik textur bagus bintang
7037,good game,good game
7038,apik coeg,apik coeg
7039,bagus tapi sayang g ada fitur ganti baju gitu terus mc cewek masa ngeyuri minimal kasih jodoh ke lah jangan mc cowok doang,bagus tapi sayang tidak ada fitur ganti baju gitu terus mc cewek masa ngeyuri minimal kasih jodoh ke lah jangan mc cowok doang
7040,gamenya bagus walau kadang ngeleg sendiri tapi tetep bagus daripada game sebelah menurutku game ini bagus tapi aku menunggu mode mabar agar bisa gantian serang gitu sama temen,game nya bagus walau kadang ngeleg sendiri tapi tetep bagus daripada game sebelah menurutku game ini bagus tapi aku menunggu mode mabar agar bisa gantian serang gitu sama temen
7041,gwe pun tidur hingga kematian panas alam semesta bahkan hingga hukum alam semesta itu sendiri musnah honkai sleep rail tamat bjir gwe sumpah serius etdah masih ngakak gwe sampai detik ini gegara ntuh moments the best of the best emang hoyoverse terimakasih honkai star rail,gwe pun tidur hingga kematian panas alam semesta bahkan hingga hukum alam semesta itu sendiri musnah honkai sleep rail tamat bjir gwe sumpah serius etdah masih ngakak gwe sampai detik ini gegara ntuh moments the best of the best memang hoyoverse terimakasih honkai star rail
7042,gamenya bagus,game nya bagus
7043,makasih game baik,terima kasih game baik
7044,penacony is peak cinema storyline yang paling keren dan karakternya juga digambarkan dengan baik gada jahat atau baik tapi hanya kepentingan saja karakter menurutku meski banyak powercreep tapi masih banyak juga karakter yang mudah di build dan masih relevan buat end game content,penacony is peak cinema storyline yang paling keren dan karakternya juga digambarkan dengan baik gada jahat atau baik tapi hanya kepentingan saja karakter menurutku meski banyak powercreep tapi masih banyak juga karakter yang mudah di build dan masih relevan buat end game content
7045,gim baik skrg mana sw rerun bangsay,game baik skrg mana sw rerun bangsay
7046,game good but there aint no rails,game good but there aint no rails
7047,aku sudah kasi bintang tolong kasi aku menang rate off dan low pity pliss,aku sudah kasih bintang tolong kasih aku menang rate off dan low pity please
7048,perfect,perfect
7049,story nya bagus kecuali xianzhou,story nya bagus kecuali xianzhou
7050,terimakasih game baik telah memberikan reward yang melimpah aku suka sekali game ini panjang panjang game baik,terimakasih game baik telah memberikan reward yang melimpah aku suka sekali game ini panjang panjang game baik
7051,tolong semenjak saya main gacha saya bau sekali tolong wangykan gacha saya,tolong semenjak saya main gacha saya bau sekali tolong wangykan gacha saya
7052,mihoyo you are my bestsbdisb,mihoyo you are my bestsbdisb
7053,gamee nyaa baguss,gamee nyaa baguss
7054,robin wangyy ahhh croottt,robin wangyy ahhh croottt
7055,tolong buatkan honkai star rail cloud min,tolong buatkan honkai star rail cloud min
7056,makasihhh hoyoo di banner jing yuan kali ini aku gacha dia terus dapet e lightconenyaaa love uu plls make more events absolutely sebelum gacha ritualan soft pity menang rate off dua duanya pas mau gacha jing yuan light cone dua duanya juga dapet pity an this really worth me up aku udah nabung tiket tapi kepakenya tiket doang buat itu tiga makasihh hoyooo mhwaah,makasihhh hoyoo di banner jing yuan kali ini aku gacha dia terus dapat e lightconenyaaa love uu plls make more events absolutely sebelum gacha ritualan soft pity menang rate off dua duanya ketika mau gacha jing yuan light cone dua duanya juga dapat pity an this really worth me up aku sudah nabung tiket tapi kepakenya tiket doang buat itu tiga makasihh hoyooo mhwaah
7057,adakan fitur bisa hapus quest yang sudah selesai jadi gak numpuk,adakan fitur bisa hapus quest yang sudah selesai jadi tidak numpuk
7058,sebenarnya game nya bagus storynya karakter nya bagus semua cuma pas saya main sering bug tempatnya dan karakternya jadi saya kasih bintang dulu dan tolong perbaiki bugnya yaa,sebenarnya game nya bagus storynya karakter nya bagus semua cuma ketika saya main sering bug tempatnya dan karakternya jadi saya kasih bintang dulu dan tolong perbaiki bugnya yaa
7059,makasih ya game baik ajahhajajaja,terima kasih ya game baik ajahhajajaja
7060,firefly cantik banget developernya sangat pintar membuat karakter aku mau firefly jadi istriku,firefly cantik sekali developernya sangat pintar membuat karakter aku mau firefly jadi istriku
7061,panjang umur game baik bansos lancar terus,panjang umur game baik bansos lancar terus
7062,perfect,perfect
7063,sehat game baik,sehat game baik
7064,mauuu mydeiiii,mauuu mydeiiii
7065,mantap dah,mantap sudah
