original_index,cleaned,normalized
31,game nya enak di mainin seru alur nya juga bagus good job deh,game nya enak di mainin seru alur nya juga bagus good job deh
32,banyak bug,banyak bug
33,ngak nyangka loh hoyo tumben baik malah sekarang kuro pelit sih,tidak nyangka loh hoyo tumben baik malah sekarang kuro pelit sih
34,game bodoh moc gak ngontak lagi musuh nya rate gacha sampah terusin aja kayak gini semoga bangkrut ni game,game bodoh moc tidak ngontak lagi musuh nya rate gacha sampah terusin saja seperti gini semoga bangkrut ni game
35,perkembangan game ga terstruktur dengan baik karakter bintang cuma jadi barang jualan untuk memaksimalkan pendapatan tapi ga dipertimbangkan dengan aspek aspek lain dalam game saya rasa hoyoverse tidak kekurangan staff juga tidak kekurangan kreatifitas ataupun dana ini seharusnya bisa dihindari dengan tim pengembangan yang mempertimbangkan kesinambungan karakter dengan lore cerita termasuk elemen dan kemampuan tidak apa jika rilis karakter tertunda beberapa patch tapi hasil maksimal,perkembangan game tidak terstruktur dengan baik karakter bintang cuma jadi barang jualan untuk memaksimalkan pendapatan tapi tidak dipertimbangkan dengan aspek aspek lain dalam game saya rasa hoyoverse tidak kekurangan staff juga tidak kekurangan kreatifitas ataupun dana ini seharusnya bisa dihindari dengan tim pengembangan yang mempertimbangkan kesinambungan karakter dengan lore cerita termasuk elemen dan kemampuan tidak apa jika rilis karakter tertunda beberapa patch tapi hasil maksimal
36,fak anying ampas bener udah hampir x draw ga dapet dapet karater yang di mau anying fak makin update makin ampas,fak anying ampas bener sudah hampir x draw tidak dapat dapat karater yang di mau anying fak makin update makin ampas
37,aku rate off dapat bailu dan lc nya terus aku benci game ini aku berusaha keras berjam jam mengumpulkan pull hanya untuk dapat lc bailu aku sedih sekali,aku rate off dapat bailu dan lc nya terus aku benci game ini aku berusaha keras berjam jam mengumpulkan pull hanya untuk dapat lc bailu aku sedih sekali
38,kalo ngasih pity ngotak dikit lah masa f p dikasih high pity giliran waller malah dikasih low pity udah gitu dikasih rate off lagi,kalau memberi pity berpikir dikit lah masa f p dikasih high pity giliran waller malah dikasih low pity sudah gitu dikasih rate off lagi
39,aku kalah rate off mulu bang,aku kalah rate off mulu bang
40,game yang penuh petualangan asik dengan story nya yang kreatif tpi gw mainin ini game pas gw buka lagi kok download data lagi sih mohon kebijakannya developer apakah memang game ini masih dalam perbaikan bug,game yang penuh petualangan asik dengan story nya yang kreatif tapi saya mainin ini game ketika saya buka lagi kok download data lagi sih mohon kebijakannya developer apakah memang game ini masih dalam perbaikan bug
41,waivunya bagus bikin galuh,waivunya bagus buat galuh
42,sangat bagus game turn base yang tidak membosankan dan memiliki cerita yang sangat menarik kurang suka di fitur relik yang rng kalo gak beruntung bisa butuh beberapa bulan hanya untuk karakter,sangat bagus game turn base yang tidak membosankan dan memiliki cerita yang sangat menarik kurang suka di fitur relik yang rng kalau tidak beruntung bisa butuh beberapa bulan hanya untuk karakter
43,menyala hp ku,menyala hp ku
44,benci banget gw sama puzzle nya lebih di utamakan dari pada gameplay perang nya makan nih rating satu,benci sekali saya sama puzzle nya lebih di utamakan dari pada game play perang nya makan nih rating satu
45,i love this game good job,i love this game good job
46,nih dengerin hoyo apa susah sih ngadain fitur skip story kalian kira semua orang suka dengan story nih game dan kalian kira semua orang punya waktu luang banyak buat ngerjain story yang membosankan dan dialog yang panjang lebar kalau pun ada yang mau ngikutin story ya mereka ga usah pake fitur yang lebih parahnya lagi sekarang event aja harus dialog panjang lebar dulu bikin males main kalian secara tidak langsung memaksa untuk ngikutin stroy yang membosankan itu sial gak bisa tulis lebih,nih dengerin hoyo apa susah sih ngadain fitur skip story kalian kira semua orang suka dengan story nih game dan kalian kira semua orang punya waktu luang banyak buat ngerjain story yang membosankan dan dialog yang panjang lebar kalau pun ada yang mau ngikutin story ya mereka tidak usah pake fitur yang lebih parahnya lagi sekarang event saja harus dialog panjang lebar dulu buat males main kalian secara tidak langsung memaksa untuk ngikutin stroy yang membosankan itu sial tidak bisa tulis lebih
47,game rpg terbaik saat ini semoga developer sehat selalu panjang umur nya dan sering kasih bansos aminnn,game rpg terbaik saat ini semoga developer sehat selalu panjang umur nya dan sering kasih bansos aminnn
48,farm relic ampas terus,farm relic ampas terus
49,woi loading nya nge stuck eek,woi loading nya nge stuck eek
50,game baik,game baik
51,game nya bagus story nya juga bagus terus kalo untuk gaca nya lumayan lah tapi mohon jangan ada sistem kalah red of kalo dak bisa dapat bener minimal di kasih b yg old jangan di kasih yg setandar,game nya bagus story nya juga bagus terus kalau untuk gaca nya lumayan lah tapi mohon jangan ada sistem kalah red of kalau dak bisa dapat bener minimal di kasih b yang old jangan di kasih yang setandar
52,bestttt,bestttt
53,sistem gacha nya tolong di permudah,sistem gacha nya tolong di permudah
54,buat tombol skip dong jempol bisa bisa kena syndrom,buat tombol skip dong jempol bisa bisa kena syndrom
55,mantapzz game baik hehe,mantapzz game baik hehe
56,yang masih nyinyir powercreep mending lu gk usah main ni gem sono balik main gem bayi lu dev udah ngasih bansos bejibun masih ngeluh sana sini kalo mau ngeluh jangan di sini sono balik ke grub biru sampah mu bocil bocil,yang masih nyinyir powercreep mending kamu tidak usah main ni game sono balik main game bayi kamu dev sudah memberi bansos bejibun masih ngeluh sana sini kalau mau ngeluh jangan di sini sono balik ke grub biru sampah mu bocil bocil
57,ngotak dikit lah yatim,berpikir dikit lah yatim
58,akun kena risk pedahal kaga pake cit gajelas lu hoyotod pindah game ajalah jir,akun kena risk pedahal tidak pake cit gajelas kamu hoyotod pindah game ajalah jir
59,gabe nya bagus,gabe nya bagus
60,bagus banget wok,bagus sekali wok
61,powercreep game,powercreep game
62,terlalu banyak percakapan storynya tidak to the point no fitur skip juga,terlalu banyak percakapan storynya tidak to the point no fitur skip juga
63,bad anniversary nd trash gacha rate percuma banyak bansos kalo pull cuman dapet char doang,bad anniversary nd trash gacha rate percuma banyak bansos kalau pull cuman dapat char doang
64,gacha gua ampas terus dah udah lah kalah di hard pity welt e bailu e sepele e eh mau dapat kan nya pun harus hard pity juga asem lah sumpah kalau akun gua lama lama model kek gini terus mendingan pensi gua dah,gacha gua ampas terus sudah sudah lah kalah di hard pity welt e bailu e sepele e eh mau dapat kan nya pun harus hard pity juga asem lah sumpah kalau akun gua lama lama model seperti gini terus mendingan pensi gua sudah
